motocyklistka	<	motocyklista
komediografka	<	komediograf
petrografka	<	petrograf
telepatka	<	telepat
monopolistka	<	monopolista
architektka	<	architekt
adamitka	<	adamita
afrikanistka	<	afrikanista
alpinkářka	<	alpinkář
alpinistka	<	alpinista
amazoňanka	<	amazoňan
amerikanistka	<	amerikanista
antiamerikanistka	<	antiamerikanista
angličtinářka	<	angličtinář
neangličtinářka	<	neangličtinář
arabistka	<	arabista
asijka	<	asijec
augustiniánka	<	augustinián
belgičanka	<	belgičan
bergsonistka	<	bergsonista
betlémářka	<	betlémář
bonapartistka	<	bonapartista
brahmínka	<	brahmín
bráhmanka	<	bráhman
buddhistka	<	buddhista
bezbožnice	<	bezbožník
zbožnovatelka	<	zbožnovatel
zbožšťovatelka	<	zbožšťovatel
darwinistka	<	darwinista
dominikánka	<	dominikán
antievropanka	<	antievropan
filištínka	<	filištín
francouzštinářka	<	francouzštinář
frankistka	<	frankista
franštinářka	<	franštinář
františkánka	<	františkán
gaullistka	<	gaullista
germanistka	<	germanista
havelka	<	havel
hebraistka	<	hebraista
helénistka	<	helénista
hotentotka	<	hotentot
husitka	<	husita
indiánka	<	indián
izraelitka	<	izraelita
japončice	<	japončík
jehovistka	<	jehovista
judaistka	<	judaista
kalvinistka	<	kalvinista
karmelitka	<	karmelitán
karmelitánka	<	karmelitán
kašparka	<	kašpar
koreanistka	<	koreanista
labradorka	<	labrador
lazarka	<	lazar
lazaristka	<	lazarista
leninistka	<	leninista
lumírovkyně	<	lumírovec
luteránka	<	luterán
maoistka	<	maoista
marxistka	<	marxista
moonistka	<	moonista
moravistka	<	moravista
ultramoravistka	<	ultramoravista
mohamedánka	<	mohamedán
neptunistka	<	neptunista
němčinářka	<	němčinář
poněmčovatelka	<	poněmčovatel
olympionička	<	olympionik
onanistka	<	onanista
peronistka	<	peronista
platónovkyně	<	platónovec
pražanka	<	pražan
donkichotka	<	donkichot
ruštinářka	<	ruštinář
rusistka	<	rusista
sadistka	<	sadista
samaritánka	<	samaritán
antisionistka	<	antisionista
sionistka	<	sionista
sparťanka	<	sparťan
exsparťanka	<	exsparťan
spartakiádnice	<	spartakiádník
stachanovka	<	stachanovec
antistalinistka	<	antistalinista
stalinistka	<	stalinista
tatarka	<	tatar
titánka	<	titán
tomistka	<	tomista
trockistka	<	trockista
poturčenkyně	<	poturčenec
vltavanka	<	vltavan
wagneriánka	<	wagnerián
wikipedistka	<	wikipedista
jorkšírka	<	jorkšír
abiturientka	<	abiturient
abolicionistka	<	abolicionista
absentérka	<	absentér
absolutistka	<	absolutista
absolventnice	<	absolventník
absolventka	<	absolvent
absorbérářka	<	absorbérář
abstinentka	<	abstinent
abstrakcionistka	<	abstrakcionista
adaptátorka	<	adaptátor
adaptérka	<	adaptér
adeptka	<	adept
adjutantka	<	adjutant
administrátorka	<	administrátor
admirálka	<	admirál
adolescentka	<	adolescent
preadolescentka	<	preadolescent
adoptantka	<	adoptant
adoptovatelka	<	adoptovatel
adresátka	<	adresát
adresantka	<	adresant
adventistka	<	adventista
advokátka	<	advokát
aeronautka	<	aeronaut
afišistka	<	afišista
aforistka	<	aforista
afrocentristka	<	afrocentrista
agentka	<	agent
superagentka	<	superagent
agitátorka	<	agitátor
agnostička	<	agnostik
agresorka	<	agresor
agronomka	<	agronom
agropodnikatelka	<	agropodnikatel
agrárnice	<	agrárník
akademistka	<	akademista
akademička	<	akademik
aktorka	<	aktor
reakcionářka	<	reakcionář
akcentantka	<	akcentant
akceptantka	<	akceptant
blankoakceptantka	<	blankoakceptant
akceptovatelka	<	akceptovatel
akcesistka	<	akcesista
akcionářka	<	akcionář
akméistka	<	akméista
akordantka	<	akordant
akordeonistka	<	akordeonista
akrobatka	<	akrobat
aktérka	<	aktér
aktovkářka	<	aktovkář
aktivistka	<	aktivista
akupunkturistka	<	akupunkturista
akvarelistka	<	akvarelista
akvaristka	<	akvarista
akvizitorka	<	akvizitor
akvizitérka	<	akvizitér
alarmistka	<	alarmista
albínka	<	albín
alergička	<	alergik
alibistka	<	alibista
aligátorka	<	aligátor
alimentářka	<	alimentář
alkoholička	<	alkoholik
almužnice	<	almužník
altistka	<	altista
alternativistka	<	alternativista
alternátka	<	alternát
alternantka	<	alternant
altkařka	<	altkař
altruistka	<	altruista
altsaxofonistka	<	altsaxofonista
amantka	<	amant
amatérka	<	amatér
kinoamatérka	<	kinoamatér
radioamatérka	<	radioamatér
ambasadorka	<	ambasador
amerikanizátorka	<	amerikanizátor
amigistka	<	amigista
amputářka	<	amputář
anabaptistka	<	anabaptista
anacionalistka	<	anacionalista
analfabetka	<	analfabet
analytička	<	analytik
anarchistka	<	anarchista
anarchokomunistka	<	anarchokomunista
anarchosyndikalistka	<	anarchosyndikalista
andělíčkářka	<	andělíčkář
andělika	<	anděl
anekdotářka	<	anekdotář
anestezioložka	<	anesteziolog
anglikánka	<	anglikán
anglistka	<	anglista
anglofobka	<	anglofob
anglomanka	<	angloman
animistka	<	animista
animovatelka	<	animovatel
animátorka	<	animátor
antagonistka	<	antagonista
antropoložka	<	antropolog
antikvářka	<	antikvář
antimoravanka	<	antimoravan
antiradaristka	<	antiradarista
antropogeografka	<	antropogeograf
antukářka	<	antukář
anténářka	<	anténář
aplikovatelka	<	aplikovatel
apatekářka	<	apatekář
apoštolka	<	apoštol
apretérka	<	apretér
aprobantka	<	aprobant
arabizátorka	<	arabizátor
aranžérka	<	aranžér
aratka	<	arat
archeoložka	<	archeolog
archivářka	<	archivář
arcibásnice	<	arcibásník
arciděkanka	<	arciděkan
arcihříšnice	<	arcihříšník
arcikacířka	<	arcikacíř
arcikněžna	<	arcikníže
arcikolaborantka	<	arcikolaborant
arcikomunistka	<	arcikomunista
arcilhářka	<	arcilhář
arcimordýřka	<	arcimordýř
arcipodvodnice	<	arcipodvodník
arcireakcionářka	<	arcireakcionář
arcirebelka	<	arcirebel
arcirevolucionářka	<	arcirevolucionář
arcirivalka	<	arcirival
arciteroristka	<	arciterorista
arcivikářka	<	arcivikář
arcivévodkyně	<	arcivévoda
