Feature	English	German	Dutch	Russian	French	Spanish
kolik_se_najde_prekladu_z_cs_do_ostatnich	781	685	478	917	545	602
kolik_se_najde_prekladu_z_ostatnich_do_cs	781	685	478	917	545	602
kolik_se_najde_prekladu_z_cs_pres_ostatni_do_cs	781	685	478	917	545	602
jaky_je_prumerny_pocet_kandidatu_pri_cs_do_ostatni	4.11	3.89	3.58	3.46	3.37	3.02
jaky_je_prumerny_pocet_kandidatu_pri_ostatni_do_cs	37.75	25.26	23.88	17.89	19.69	19.97
jaky_je_prumerny_pocet_kandidatu_pri_cs_pres_ostatni_do_cs	37.75	25.26	23.88	17.89	19.69	19.97
kolik_kompletnich_prekladu_ma_pouze_pozadovanou_formu	58	42	34	69	28	33
kolik_kompletnich_prekladu_ma_soucasti_pozadovanou_formu	781	685	478	917	545	602
kolik_kompletnich_prekladu_ma_pouze_neutralni_formu	0	0	0	0	0	0
kolik_kompletnich_prekladu_ma_soucasti_neutralni_formu	389	327	206	441	249	281
kolik_prekladu_z_cs_do_ostatni_je_kopie	0	0	0	0	0	0
kolik_prekladu_z_ostatni_do_cs_je_kopie	0	0	0	0	0	0

kolik_prekladu_pro_vsechny_jazyky	427
