Feature	English	German	Dutch	Russian	French	Spanish
kolik_se_najde_prekladu_z_cs_do_ostatnich	683	607	451	907	497	558
kolik_se_najde_prekladu_z_ostatnich_do_cs	781	685	478	917	545	602
kolik_se_najde_prekladu_z_cs_pres_ostatni_do_cs	683	607	451	907	497	558
jaky_je_prumerny_pocet_kandidatu_pri_cs_do_ostatni	3.27	3.2	3.35	3.22	3.0	2.66
jaky_je_prumerny_pocet_kandidatu_pri_ostatni_do_cs	37.75	25.26	23.88	17.89	19.69	19.97
jaky_je_prumerny_pocet_kandidatu_pri_cs_pres_ostatni_do_cs	41.56	27.47	24.92	18.06	21.02	21.04
kolik_kompletnich_prekladu_ma_pouze_pozadovanou_formu	49	35	32	65	23	30
kolik_kompletnich_prekladu_ma_soucasti_pozadovanou_formu	683	607	451	907	497	558
kolik_kompletnich_prekladu_ma_pouze_neutralni_formu	0	0	0	0	0	0
kolik_kompletnich_prekladu_ma_soucasti_neutralni_formu	350	293	194	439	230	264
kolik_prekladu_z_cs_do_ostatni_je_kopie	0	0	0	0	0	0
kolik_prekladu_z_ostatni_do_cs_je_kopie	0	0	0	0	0	0

kolik_prekladu_pro_vsechny_jazyky	320
