Feature	English	German	Dutch	Russian	French	Spanish
kolik_se_najde_prekladu_z_cs_do_ostatnich	1166	1125	1321	1044	1184	1063
kolik_se_najde_prekladu_z_ostatnich_do_cs	1259	1085	1188	1037	1205	1078
kolik_se_najde_prekladu_z_cs_pres_ostatni_do_cs	1119	988	1153	948	1103	1000
jaky_je_prumerny_pocet_kandidatu_pri_cs_do_ostatni	10.74	19.78	26.82	9.23	13.03	12.31
jaky_je_prumerny_pocet_kandidatu_pri_ostatni_do_cs	6403.01	7600.16	9484.61	1354.76	8952.44	11646.56
jaky_je_prumerny_pocet_kandidatu_pri_cs_pres_ostatni_do_cs	7154.58	8332.36	9767.6	1480.93	9767.98	12478.65
kolik_kompletnich_prekladu_ma_pouze_pozadovanou_formu	36	101	125	84	54	35
kolik_kompletnich_prekladu_ma_soucasti_pozadovanou_formu	1084	911	1063	878	1059	959
kolik_kompletnich_prekladu_ma_pouze_neutralni_formu	0	0	0	0	0	0
kolik_kompletnich_prekladu_ma_soucasti_neutralni_formu	880	561	678	576	822	752
kolik_prekladu_z_cs_do_ostatni_je_kopie	0	0	1	0	1	1
kolik_prekladu_z_ostatni_do_cs_je_kopie	2	0	3	0	4	4

kolik_prekladu_pro_vsechny_jazyky	667
