Feature	English	German	Dutch	Russian	French	Spanish
kolik_se_najde_prekladu_z_cs_do_ostatnich	287	393	323	358	311	359
kolik_se_najde_prekladu_z_ostatnich_do_cs	345	443	340	367	358	392
kolik_se_najde_prekladu_z_cs_pres_ostatni_do_cs	287	393	323	358	311	359
jaky_je_prumerny_pocet_kandidatu_pri_cs_do_ostatni	2.83	3.01	2.6	2.59	2.27	2.37
jaky_je_prumerny_pocet_kandidatu_pri_ostatni_do_cs	19.97	16.08	12.71	13.84	11.47	13.57
jaky_je_prumerny_pocet_kandidatu_pri_cs_pres_ostatni_do_cs	23.28	17.57	13.18	14.11	12.52	14.48
kolik_kompletnich_prekladu_ma_pouze_pozadovanou_formu	23	35	34	41	34	33
kolik_kompletnich_prekladu_ma_soucasti_pozadovanou_formu	287	393	323	358	311	359
kolik_kompletnich_prekladu_ma_pouze_neutralni_formu	0	0	0	0	0	0
kolik_kompletnich_prekladu_ma_soucasti_neutralni_formu	89	99	84	95	79	98
kolik_prekladu_z_cs_do_ostatni_je_kopie	0	0	0	0	1	0
kolik_prekladu_z_ostatni_do_cs_je_kopie	0	0	0	0	1	0

kolik_prekladu_pro_vsechny_jazyky	153
