Feature	English	German	Dutch	Russian	French	Spanish
kolik_se_najde_prekladu_z_cs_do_ostatnich	142	176	136	171	122	162
kolik_se_najde_prekladu_z_ostatnich_do_cs	161	193	139	172	155	175
kolik_se_najde_prekladu_z_cs_pres_ostatni_do_cs	142	176	136	171	122	162
jaky_je_prumerny_pocet_kandidatu_pri_cs_do_ostatni	2.76	3.41	2.72	2.4	2.16	2.45
jaky_je_prumerny_pocet_kandidatu_pri_ostatni_do_cs	20.62	18.03	15.74	12.98	11.63	16.17
jaky_je_prumerny_pocet_kandidatu_pri_cs_pres_ostatni_do_cs	22.82	19.08	15.89	13.05	13.65	17.02
kolik_kompletnich_prekladu_ma_pouze_pozadovanou_formu	9	9	12	18	7	11
kolik_kompletnich_prekladu_ma_soucasti_pozadovanou_formu	142	176	136	171	122	162
kolik_kompletnich_prekladu_ma_pouze_neutralni_formu	0	0	0	0	0	0
kolik_kompletnich_prekladu_ma_soucasti_neutralni_formu	62	77	63	77	56	78
kolik_prekladu_z_cs_do_ostatni_je_kopie	0	0	0	0	0	0
kolik_prekladu_z_ostatni_do_cs_je_kopie	0	0	0	0	0	0

kolik_prekladu_pro_vsechny_jazyky	71
