source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
Czech	English	Deutch	Dutch	Russian	Spanish	French	English	Deutch	Dutch	Russian	Spanish	French
motocyklíček												
gramofonek												
architektonika												
amorek												
bavoráček												
benjamínek												
náboženstvíčko												
dalmatinek												
indiánek												
jezulátko												
jidášek												
zákampíčko												
kašpárek												
konfuciánek												
labradorek												
lesbička												
medúzka												
tatřička												
ukrajinistika												
vlašáček												
vysočinka												
jorkšírek												
absurditka												
adventurka												
aerolinka	airline|NOUN			авиакомпания|NOUN;авиалинии|NOUN	aerolínea|NOUN;vía aérea|NOUN|ADJ		aerolinie;aerolinka			aerolinie;aerolinka;aerolinie;aerolinka	aerolinie;aerolinka;aerolinie;aerolinka	
aférka												
akátek												
akcička												
aktovčička												
aktovečka												
aktualitka												
albíčko												
aldinka												
alkoholek												
almárka												
almuženka												
almužnička												
altánek												
ambitek												
ampulka	ampule|NOUN;ampoule|NOUN		ampul|NOUN;fiool|NOUN	ампула|NOUN		fiole|NOUN;ampoule|NOUN	ampulka;ampule;ampulka;ampule;ampulka;ampule;ampulka;ampule;ampulka;ampule	vezikul;ampulka;ampule	ampulka;ampule;ampulka;ampule	ampulka;ampule	ampulka;ampule;vezikul;ampulka;ampule	ampulka;ampule;vezikul;ampulka;ampule
amrhelka												
andílek												
andělíček												
andělík												
anekdotka												
antilopka												
anténka												
aparátek												
aportek												
aršík												
arcibiskupek												
arcidílko												
areálek												
armaturka												
armádička												
aromalampička												
artedílnička												
ateliérek												
atomek												
autíčko												
auťáček												
autobusek												
autokárek												
autolékárnička												
náklaďáček												
osobáček												
babička	grannie|NOUN;grandma|NOUN;grandmother|NOUN;granny|NOUN		oma|NOUN;bomma|NOUN	баба|NOUN;бабушка|NOUN	tata|NOUN;nana|NOUN;abuela|NOUN	grand-maman|NOUN;mamie|NOUN	babička;babička;babička;babička;babička	babička;babička	babička;babička	babička;stařena;babička;stařena	babička;babička;babička	babička;babička;babička;babička
praprababička												
prapraprababička												
bábinka												
bábovička												
bachyňka												
bagatelka												
bagetka												
bahnička												
bahýnko												
bažinka												
bajadérka												
bakulka												
baladička												
obálčička												
obálečka												
balvánek												
balzamínka												
balíček												
bambulka												
bandička												
bandůrek												
banalitka												
banánek												
barvička												
barvoměnka												
baráček												
basička												
baterčička												
batůžek												
batolátko												
výbavička												
výbavka												
zábavička												
zábavka												
bazalička												
baňčička												
baštička												
bažantík												
budíček												
bebínko												
bebíčko												
bednička												
bedýnka												
reprobedýnka												
bedrníček												
berlička												
besídka												
besídečka												
bečička												
bichirek												
bifteček												
tataráček												
bikinky												
biobylinka												
bijáček												
bijásek												
biokašička												
bioklobáska												
biokoláček												
biokoutek												
biokuřátko												
bioobchůdek												
biopáreček												
biosvačinka												
biotričko												
biouheráček												
biovýrobek												
biozahrádka												
biretek												
bišonek												
blatka												
blbeček												
blbinka												
blbůstka												
blbovinka												
bleška												
bledulka												
bloček												
blonďáček												
bloudek												
bludišťátko												
blanka												
blatníček												
blátíčko												
blouznílek												
bláznivinka												
blázínek												
blůzka												
blůzička												
bobek												
bobeček												
bobulka												
bobřík												
bochánek												
bocháneček												
bochníček												
bodík												
bodíček												
bodlinka												
bodláček												
bojovníček												
zbojníček												
bolerko												
bolestínek												
bolístka												
boláček												
bombička												
superbombička												
