source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
Czech	English	Deutch	Dutch	Russian	Spanish	French	English	Deutch	Dutch	Russian	Spanish	French
motocyklistka												
komediografka												
petrografka												
telepatka												
monopolistka												
architektka												
adamitka												
afrikanistka												
alpinkářka												
alpinistka												
amazoňanka												
amerikanistka												
antiamerikanistka												
angličtinářka												
neangličtinářka												
arabistka	arabist|NOUN		arabist|NOUN	арабист|NOUN			arabistika;arabista;arabistka	arabistika;arabista;arabistka;arabistika;arabista;arabistka	arabistika;arabista;arabistka	arabistika;arabista;arabistka	arabistika;arabista;arabistka	arabistika;arabista;arabistka;arabistika;arabista;arabistka;arabistika;arabista;arabistka
asijka												
augustiniánka												
belgičanka			belg|NOUN	бельгийка|NOUN;бельгиец|NOUN			belgičan;belgičanka;belgický	belgičan;belgičanka;belgičan;belgičanka	belgičan;belgičanka;belgičan;belgičanka	belgičan;belgičanka;belgičan;belgičanka		belgičan;belgičanka;belgický
bergsonistka												
betlémářka												
bonapartistka												
brahmínka												
bráhmanka												
buddhistka												
bezbožnice												
zbožnovatelka												
zbožšťovatelka												
darwinistka												
dominikánka												
antievropanka												
filištínka												
francouzštinářka												
frankistka												
franštinářka												
františkánka												
gaullistka												
germanistka												
havelka												
hebraistka												
helénistka												
hotentotka												
husitka												
indiánka			roodhuid|NOUN	индианка|NOUN	piel roja|NOUN|ADJ;indio|NOUN		indián;ind;indka;indiánka;indický;indián;indiánka	indián;indiánka;indián;indiánka	indián;indiánka	indián;indiánka;ind;indka	indián;indiánka;indián;ind;indka;indiánka;indický;indium	indián;ind;indka;indiánka;indický;indián;indiánka
izraelitka												
japončice												
jehovistka												
judaistka												
kalvinistka												
karmelitka												
karmelitánka												
kašparka												
koreanistka												
labradorka												
lazarka												
lazaristka												
leninistka												
lumírovkyně												
luteránka												
maoistka												
marxistka												
moonistka												
moravistka												
ultramoravistka												
mohamedánka												
neptunistka												
němčinářka												
poněmčovatelka												
olympionička												
onanistka												
peronistka												
platónovkyně												
pražanka												
donkichotka												
ruštinářka												
rusistka												
sadistka												
samaritánka												
antisionistka												
sionistka												
sparťanka												
exsparťanka												
spartakiádnice												
stachanovka												
antistalinistka												
stalinistka	stalinist|NOUN			сталинец|NOUN;сталинист|NOUN	estalinismo|NOUN		stalinista;stalinistka;stalinistický	stalinista;stalinistka		stalinista;stalinistka;stalinista;stalinistka	stalinista;stalinistka;stalinista;stalinistka	stalinista;stalinistka;stalinista;stalinistka;stalinistický
tatarka												
titánka												
tomistka												
trockistka												
poturčenkyně												
vltavanka												
wagneriánka												
wikipedistka												
jorkšírka												
abiturientka												
abolicionistka												
absentérka												
absolutistka												
absolventnice												
absolventka												
absorbérářka												
abstinentka												
abstrakcionistka												
adaptátorka												
adaptérka												
adeptka												
adjutantka												
administrátorka												
admirálka												
adolescentka												
preadolescentka												
adoptantka												
adoptovatelka												
adresátka												
adresantka												
adventistka												
advokátka												
aeronautka												
afišistka												
aforistka												
afrocentristka												
agentka												
superagentka												
agitátorka												
agnostička												
agresorka												
agronomka												
agropodnikatelka												
agrárnice												
akademistka												
akademička												
aktorka												
reakcionářka												
akcentantka												
akceptantka												
blankoakceptantka												
akceptovatelka												
akcesistka												
akcionářka												
akméistka												
akordantka												
akordeonistka												
akrobatka												
aktérka												
