source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
Czech	English	Deutch	Dutch	Russian	Spanish	French	English	Deutch	Dutch	Russian	Spanish	French
motocyklíček	motorcycle|NOUN	Motorrad|NOUN	motorfiets|NOUN	мотоцикл|NOUN	motocicleta|NOUN	moto|NOUN	motocykl		motocykl	motorka	motocykl	motorka
gramofonek	turntable|NOUN	Drehscheibe|NOUN		проигрыватель|NOUN	placa giratoria|NOUN|ADJ	plaque tournante|NOUN|ADJ	otočný stůl	otočný stůl	otáčení	hráč	otočný stůl	otočná deska
architektonika	architecturalism|NOUN	Architekturismus|NOUN	architecturalisme|NOUN	архитектурализм|NOUN	arquitecturalismo|NOUN	architecturalisme|NOUN	architektura		architektura	architektura	architektura	architektura
amorek			amorek|NOUN	аморек|NOUN	amorek|NOUN		amorek		amorek	amororek	amorek	amorek
bavoráček			bavarian|NOUN			bavarois|NOUN	bavorský		bavorský	bavorský	bavorský	bavorský
benjamínek			benjamin|NOUN	бенджамин|NOUN	benjamín|NOUN	benjamin|NOUN	benjamin		benjamin	benjamin	benjamin	nejmladší
náboženstvíčko	religion|NOUN	Religion|NOUN	geloof|NOUN	религия|NOUN	religión|NOUN	la religion|DET|NOUN	náboženství		věřit	náboženství	náboženství	náboženství
dalmatinek		Dalmatiner|NOUN		далматин|NOUN		dalmatien|NOUN	dalmatan	dalmatan	dalmatan	dalmatin	dalmatan	dalmatan
indiánek					indio|NOUN		indický		indonéština	indický	indický	indický
jezulátko	pant|NOUN				pantalón|NOUN		kalhoty		kalhoty	razítko	kalhoty	malovat
jidášek			jidas|NOUN	джидас|NOUN	jidas|NOUN	jidas|NOUN	jidas		jidas	jadas	jidas	jidas
zákampíčko	tap|NOUN						klepněte		klepněte	klikněte	hrát si	kohoutek
kašpárek	cushion|NOUN	Kissen|NOUN		диванная подушка|ADJ|NOUN	almohadón|NOUN	coussin|NOUN	polštář		políbit	polštář	polštář	polštář
konfuciánek	confucián|NOUN		confucián|NOUN	конфуциан|NOUN			konfucián	konfucian	konfucián	konfucian	konfucian	konfucián
labradorek		Labradorek|NOUN	labradorek|NOUN	лабрадорек|NOUN	labradorek|NOUN	labradorek|NOUN	labradorek	labradorek	labradorek	labradorek	labradoroek	labradorek
lesbička			lesbienne|NOUN	лесбиянка|NOUN			lesbička		lesbička	lesbička	lesbička	lesbička
medúzka			jellyon|NOUN	желе|NOUN		jellyon|NOUN	jellyon		jellyon	želé	želé	jellyon
tatřička			taddy|NOUN				taddy		taddy	taddy	taddy	kyselé
ukrajinistika			oekraïens|NOUN	украинец|NOUN			ukrajinština	ukrajinština	ukrajinština	ukrajinština	ukrajinština	ukrajinština
vlašáček			vlašáček|NOUN	влашачек|NOUN	vlašáček|NOUN		vlaše		vlaše	vlazhachk	vlaše	vlaše
vysočinka			hoogland|NOUN	хайленд|NOUN	tierras altas|NOUN|ADJ	montagnes|NOUN	vysočina		vysočina	vysočina	vrchovina	hory
jorkšírek			yorkshire|NOUN	йоркшир|NOUN		yorkshire|NOUN	yorkshire		yorkshire	yorkshire	yorkshire	yorkshire
absurditka	absurdity|NOUN	Absurdität|NOUN	absurditeit|NOUN	абсурда|NOUN		absurdité|NOUN	nesmyslnost	nesmyslnost	nesmyslnost	nesmyslnost	absurdní	nesmyslnost
