source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
Czech	English	Deutch	Dutch	Russian	Spanish	French	English	Deutch	Dutch	Russian	Spanish	French
motocyklíček	motorcycle	Motorrad	motorfiets	мотоцикл	motocicleta	moto	motocykl	#VALUE!	motocykl	motorka	motocykl	motorka
gramofonek	turntable	Drehscheibe	draaibaar	Проигрыватель	placa giratoria	plaque tournante	otočný stůl	otočný stůl	otáčení	Hráč	otočný stůl	otočná deska
architektonika	architecturalism	Architekturismus	architecturalisme	архитектурализм	arquitecturalismo	architecturalisme	Architektura	#VALUE!	Architektura	Architektura	Architektura	Architektura
amorek	amorek	Amorek	Amorek	Аморек	Amorek	amorek	Amorek	#VALUE!	Amorek	Amororek	Amorek	Amorek
bavoráček	Bavarian	Bayer	Bavarian	Баварский	bávaro	Bavarois	Bavorský	#VALUE!	Bavorský	Bavorský	Bavorský	Bavorský
benjamínek	benjamin	Benjamin	Benjamin	Бенджамин	Benjamín	Benjamin	Benjamin	#VALUE!	Benjamin	Benjamin	Benjamin	Nejmladší
náboženstvíčko	religion	Religion	geloof	религия	religión	la religion	náboženství	#VALUE!	věřit	náboženství	náboženství	náboženství
dalmatinek	Dalmatian	Dalmatiner	Dalmatisch	Далматин	dálmata	dalmatien	Dalmatan	Dalmatan	Dalmatan	Dalmatin	Dalmatan	Dalmatan
indiánek	Indian	indisch	Indisch	Индийский	indio	Indien	indický	#VALUE!	indonéština	indický	indický	indický
jezulátko	pant	keuchen	hijgen	штамповать	pantalón	haleter	kalhoty	#VALUE!	kalhoty	Razítko	kalhoty	malovat
jidášek	jidas	Jidas	jidas	Джидас	jidas	jidas	Jidas	#VALUE!	Jidas	Jadas	Jidas	Jidas
zákampíčko	tap	klopfen	tik	нажмите	tocar	robinet	klepněte	#VALUE!	klepněte	Klikněte	hrát si	kohoutek
kašpárek	cushion	Kissen	kussen	диванная подушка	almohadón	coussin	polštář	#VALUE!	Políbit	polštář	polštář	polštář
konfuciánek	Confucián	Konfuzianisch	Confucián	Конфуциан	Confuciano	Confucián	Konfucián	Konfucian	Konfucián	Konfucian	Konfucian	Konfucián
labradorek	labradorek	Labradorek	labradorek	Лабрадорек	labradorek	labradorek	Labradorek	Labradorek	Labradorek	Labradorek	Labradoroek	Labradorek
lesbička	lesbian	Lesbe	lesbienne	лесбиянка	lesbiana	lesbienne	Lesbička	#VALUE!	Lesbička	Lesbička	Lesbička	Lesbička
medúzka	jellyon	Jellyon	jellyon	желе	gelatina	Jellyon	Jellyon	#VALUE!	Jellyon	želé	želé	Jellyon
tatřička	taddy	taddy	taddy	тадди	taddy	acidulé	taddy	#VALUE!	Taddy	Taddy	Taddy	kyselé
ukrajinistika	Ukrainian	ukrainisch	Oekraïens	украинец	ucranio	ukrainien	ukrajinština	ukrajinština	ukrajinština	ukrajinština	ukrajinština	ukrajinština
vlašáček	Vlašáček	Vlašáček	Vlašáček	Влашачек	Vlašáček	Vlašáček	Vlaše	#VALUE!	Vlaše	VLAZHACHK	Vlaše	Vlaše
vysočinka	Highland	Hochland	Hoogland	Хайленд	Tierras altas	Montagnes	Vysočina	#VALUE!	Vysočina	Vysočina	Vrchovina	Hory
jorkšírek	yorkshire	Yorkshire	Yorkshire	Йоркшир	Yorkshire	Yorkshire	Yorkshire	#VALUE!	Yorkshire	Yorkshire	Yorkshire	Yorkshire
absurditka	absurdity	Absurdität	absurditeit	абсурда	absurdo	absurdité	nesmyslnost	nesmyslnost	nesmyslnost	nesmyslnost	absurdní	nesmyslnost
adventurka	adventuress	Abenteurerin	avonturierster	авантюрша	aventurera	aventurière	dobrodružka	Dobrodruh	dobrodruh	dobrodružství	dobrodružka	dobrodruh
aerolinka	airline	Fluggesellschaft	luchtvaartmaatschappij	авиакомпания	aerolínea	Compagnie aérienne	letecká linka	#VALUE!	letecká linka	letecká linka	letecká linka	Letecká společnost
aférka	affair	Affäre	affaire	роман	asunto	aventure	aféra	#VALUE!	aféra	román	aféra	dobrodružství
akátek	academ	Akademie	academisch	академический	academia	universitaire	Akadema	#VALUE!	akademický	akademický	akademie	univerzita
