source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
Czech	English	Deutch	Dutch	Russian	Spanish	French	English	Deutch	Dutch	Russian	Spanish	French
motocyklistka	motorcyclist|NOUN	Motorradfahrer|NOUN	motorrijder|NOUN	мотоциклист|NOUN	motociclista|NOUN	motocycliste|NOUN	motocyklista	motocyklista	motocyklista	motocyklista	motocyklista	motocyklista
komediografka	comedy|NOUN	Komödie|NOUN	komedie|NOUN	комедия|NOUN	comedia|NOUN	la comédie|DET|NOUN	komedie	komedie	komedie	komedie	komedie	komedie
petrografka	petrographer|NOUN	Petrographen|NOUN	petrograaf|NOUN	петрограф|NOUN		pétographe|NOUN	petrographer	petrographer	petrograf	petrographer	olej	petograph
telepatka	telepath|NOUN		telepaat|NOUN	телепат|NOUN	telépata|NOUN		telepath	telepath	telepaat	telepath	telepata	teleprise
monopolistka	monopolist|NOUN	Monopolist|NOUN	monopolist|NOUN	монополист|NOUN	monopolista|NOUN	monopoliste|NOUN	monopolní	monopolní	monopolní	monopolní	monopolní	monopol
architektka	architect|NOUN	Architekt|NOUN	architect|NOUN	архитектор|NOUN	arquitecto|NOUN	architecte|NOUN	architekt	architekt	architekt	architekt	architekt	architekt
adamitka	adamite|NOUN		adamite|NOUN	адамит|NOUN		adamite|NOUN	adamite	adamit	adamite	adamite	adamite	adamite
afrikanistka		Afrikaner|NOUN					afronista	afričan	afričan	afričan	afronista	afronista
alpinkářka			alpinec|NOUN				alpinec	alpinec	alpinec	alpinec	alpinec	alpinec
alpinistka	alpinist|NOUN	Alpinist|NOUN	alpinist|NOUN	альпинист|NOUN	alpinista|NOUN	alpiniste|NOUN	horolezec	horolezec	horolezec	horolezec	horolezec	horolezec
amazoňanka			amazone|NOUN	амазонка|NOUN	amazonas|NOUN	amazone|NOUN	amazonka	amazonka	jezdec	amazonka	amazonka	amazonka
amerikanistka			amerikaans|NOUN	американец|NOUN			americký	americký	americký	americký	americký	americký
antiamerikanistka	anti-americanist|NOUN	Anti-Amerikaner|NOUN					anti-amerikanista	anti-american	anti-amerikan	anti-american	anti-amerikanista	antiameričan
angličtinářka		Engländer|NOUN		англичанин|NOUN	inglés|NOUN		angličan	angličané	angličan	angličan	angličtina	angličtina
neangličtinářka			niet-engels|NOUN		no inglés|ADV|NOUN		ne-anglish	ne-anglish	non-engels	ne-anglish	žádná angličtina	ne-english-dispeaking
arabistka	arabist|NOUN	Araber|NOUN	arabist|NOUN	арабист|NOUN			arabista	arab	arabista	arabista	arabista	arabista
asijka			azië|NOUN	азия|NOUN	asia|NOUN	asie|NOUN	asie	asie	asie	asie	asie	asie
augustiniánka		Augustiner|NOUN		августин|NOUN			augustinian	augustiner	srpen	augustine	augustinian	augustinian
belgičanka		Belgier|NOUN					belgický	belgický	belgický	belgický	belgický	belgický
bergsonistka		Bergsonist|NOUN	bergsonist|NOUN	бергсонист|NOUN		bergsoniste|NOUN	bergsonista	mountain sonist	horolezec	bergsonista	bergsonista	bergsonista
betlémářka				вифлеем|NOUN	belén|NOUN	bethléem|NOUN	betlém	betlém	betlém	betlém	belen	betlém
bonapartistka	bonapartist|NOUN	Bonapartist|NOUN	bonapartist|NOUN	бонапартист|NOUN		bonapartiste|NOUN	bonapartista	bonapartista	bonapartista	bonapartista	bonapartista	bonapartista
