source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
Czech	English	Deutch	Dutch	Russian	Spanish	French	English	Deutch	Dutch	Russian	Spanish	French
motocyklistka	motorcyclist	Motorradfahrer	motorrijder	Мотоциклист	motociclista	motocycliste	motocyklista	Motocyklista	motocyklista	Motocyklista	motocyklista	motocyklista
komediografka	comedy	Komödie	komedie	комедия	comedia	la comédie	komedie	komedie	komedie	komedie	komedie	komedie
petrografka	Petrographer	Petrographen	Petrograaf	Петрограф	Petrolero	Pétographe	Petrographer	Petrographer	Petrograf	Petrographer	Olej	Petograph
telepatka	telepath	Telepath	telepaat	Телепат	telépata	se télépréter	Telepath	Telepath	Telepaat	Telepath	Telepata	Teleprise
monopolistka	monopolist	Monopolist	monopolist	монополист	monopolista	monopoliste	monopolní	Monopolní	monopolní	monopolní	monopolní	monopol
architektka	architect	Architekt	architect	архитектор	arquitecto	architecte	architekt	architekt	architekt	architekt	architekt	architekt
adamitka	adamite	Adamit	Adamite	Адамит	adamita	adamite	Adamite	Adamit	Adamite	Adamite	Adamite	Adamite
afrikanistka	Africanist	Afrikaner	Afrikaan	Африканский	africanista	Africaniste	Afronista	Afričan	Afričan	Afričan	Afronista	Afronista
alpinkářka	alpinec	Alpinec	alpinec	Alpinec	alpinec	alpinec	Alpinec	Alpinec	Alpinec	Alpinec	Alpinec	Alpinec
alpinistka	alpinist	Alpinist	alpinist	альпинист	alpinista	alpiniste	horolezec	horolezec	horolezec	horolezec	horolezec	horolezec
amazoňanka	amazon	Amazonas	Amazone	Амазонка	Amazonas	amazone	Amazonka	Amazonka	Jezdec	Amazonka	Amazonka	Amazonka
amerikanistka	American	amerikanisch	Amerikaans	Американец	Americano	Américain	americký	americký	americký	americký	americký	americký
antiamerikanistka	anti-Americanist	Anti-Amerikaner	anti-Amerikaan	анти-американский	antiamericanista	anti-américain	Anti-amerikanista	Anti-American	Anti-amerikan	Anti-American	Anti-amerikanista	Antiameričan
angličtinářka	Englishman	Engländer	Engelsman	англичанин	inglés	Anglais	Angličan	Angličané	Angličan	Angličan	Angličtina	Angličtina
neangličtinářka	non-English	nicht-englisch	niet-Engels	неанглийский	no inglés	non anglophone	ne-anglish	ne-anglish	Non-engels	Ne-anglish	žádná angličtina	ne-english-dispeaking
arabistka	Arabist	Araber	Arabist	Арабист	arabista	arabisant	arabista	Arab	arabista	arabista	arabista	arabista
asijka	Asia	Asien	Azië	Азия	Asia	Asie	Asie	Asie	Asie	Asie	Asie	Asie
augustiniánka	Augustinian	Augustiner	Augustus	Августин	agustino	Augustinien	Augustinian	Augustiner	srpen	Augustine	Augustinian	Augustinian
belgičanka	Belgian	Belgier	Belgisch	бельгийский	Belga	Belge	belgický	belgický	belgický	belgický	belgický	belgický
bergsonistka	Bergsonist	Bergsonist	Bergsonist	Бергсонист	Bergsonista	Bergsoniste	Bergsonista	Mountain Sonist	Horolezec	Bergsonista	Bergsonista	Bergsonista
betlémářka	Bethlehem	Bethlehem	Bethlehem	Вифлеем	Belén	Bethléem	Betlém	Betlém	Betlém	Betlém	Belen	Betlém
bonapartistka	bonapartist	Bonapartist	bonapartist	Бонапартист	bonapartista	bonapartiste	bonapartista	Bonapartista	bonapartista	Bonapartista	Bonapartista	bonapartista
