source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
Czech	English	Deutch	Dutch	Russian	Spanish	French	English	Deutch	Dutch	Russian	Spanish	French
nosítka	litter|NOUN;handbarrow|NOUN;stretcher|NOUN	Bahre|NOUN;Trage|NOUN	draagstoel|NOUN;draagbed|NOUN	носи́лки|NOUN;носилки|NOUN;паланки́н|NOUN	camilla|NOUN;litera|NOUN;andas|NOUN	litière|NOUN;brancard|NOUN;civiere|NOUN;civière|NOUN	nosítka;kára;trakař;rudl;mohyla;kolečko;dvoukolák;šebinkê;dvojkolka;mrť;nosítka;vrhy;odpadky;smetí;stelivo;nosítka;kolečko;nosítka;běhoun	lůžko na kolečkách;nosítka;máry;nosítka na kolečkách;nosítka;nosítka	nosítka;přenositelný;nosítka;portabilní;přenosný;mobilní;nosítka	nosítka;nosítka;nosítka	lůžko na kolečkách;nosítka;nosítka na kolečkách;lůžko;nosítka;nosítka;nosítka;máry	nosítka;stelivo;nosítka;držadlo;nosítka na kolečkách;máry;lůžko na kolečkách;rukojeť;nosítka;lůžko na kolečkách;nosítka;nosítka na kolečkách
doručenka	advice of delivery|NOUN|ADP|NOUN	Einlieferungsschein|NOUN					doručenka	doručenka				
pasáček		Schafhirt|NOUN		пастушок|NOUN;пастух|NOUN	ovejero|NOUN;pastor|NOUN	pasteur|NOUN	pasáček;pastýřka;pasák;ovčák;pastýř;dohnat;pastevec;pást	pasáček;pasák;ovčák;pastýř;pastevec;honák;pasáček;pasák;ovčák;pastýř;pastevec;pastucha;honák;pasáček;pastýřka;pasák;ovčák;pastýř;pastevec	honák;pasáček;pastýřka;pasák;ovčák;pastýř;pastevec;pastucha	kluk;pasáček;nápadník;ženich;milenec;fešák;chřástal vodni;galán;floutek;hejsek;honák;pasáček;pastýřka;pasák;ovčák;pastýř;pastevec;valach;pastucha	pasáček;pasák;ovčák;pastýř;pastevec;honák;pastor;pasáček;kněz;pasák;duchovní;ovčák;vikář;pastýř;pastevec;rektor;páter;farář;pastucha;pasáček;pasák;ovčák;pastýř;pastevec	honák;pasáček;pasák;ovčák;pastýř;pastevec;pastucha;honák;pasáček;pastýřka;pasák;ovčák;pastýř;pastevec;pastucha;pastor;pasáček;kněz;farář;pasák;duchovní;ovčák;vikář;pastýř;pastevec;rektor;páter;boží;kazatel
prstíček				пальчик|NOUN						prstíček;paleček;prstík		
úšklebek	grimace|NOUN;face|NOUN;grin|NOUN	Fratze|NOUN;Grinsen|NOUN;Grimasse|NOUN;Lächeln|NOUN	grijns|NOUN;grimlach|NOUN;gezichten trekken|NOUN|VERB;grijnzen|NOUN;grimas|NOUN	усмешка|NOUN;гримаса|NOUN;улыбка|NOUN;ухмылка|NOUN	sonrisa abierta|NOUN|ADJ;sonrisa|NOUN;sonrisa afectada|NOUN|ADJ	sourire affecté|NOUN|VERB;sourire épanoui|NOUN|ADJ;grimace|NOUN;sourire d’une oreille à l’autre|VERB|ADP|DET|NOUN|ADP|DET|PRON;minauderie|NOUN;large sourire|ADJ|NOUN	dělat grimasy;šklibit se;pošklebovat se;šklebit se;úšklebek;obličeje;grimasa;úšklebek;čelo;líčko;smělost;konfrontovat;úšklebek;našpulení rtů;obličej;obličeje;výraz tváře;tvář;vzezření;ciferník;líc;postavit se;přední část;mimika;vzhled;grimasa;pohlédnout;font;výraz;lícní strana;přijmouti;druh písma;strana;interiér;pohled;povrch;role;hýždě;hledět;exteriér;obložit;vnitřek;čelit;zvládnout;číselník;řez písma;fyziognomie;drzost;podobná osoba;obkládat;vizáž;zevnějšek;vnitro;vypořádat se;průčelí;pustit se;huba;přední strana;nestydatost;zôbit se;zubit se;usmívat se;šklebit se;úšklebek;škleb;usmát se;grimasa;cenit zuby;pousmát se;úsměv;côlêt se;usmívající se;úšklebek;křenící se;smát;úsměv;ôščôřovat se;škleb;smějící se;usmát;grimasa;culit se;pousmát se;smát se;zasmát se;ščôřêt se;usmívat se;zaščôřêt se;usmívat;ščóhlêt;hihlat se;usmát se	úšklebek;pohled;obličeje;grimasa;ksicht;usmívající se;škleb;úšklebek;smějící se;křenící se;grimasa;úsměv;pošklebek;žábry;grimasa;úšklebek;usmívající se;škleb;úšklebek;smějící se;křenící se;grimasa;úsměv	usmívající se;škleb;úšklebek;smějící se;obličeje;křenící se;grimasa;úsměv;úšklebek;usmívající se;škleb;úšklebek;smějící se;křenící se;grimasa;úsměv;dělat posunky;úšklebek;zašklebit se;obličeje;grimasa;obličeje;grimasa;úšklebek;obličeje;grimasa;úšklebek;usmívající se;škleb;usmívat se;úšklebek;smějící se;usmát se;křenící se;grimasa;úsměv	usmívající se;škleb;úšklebek;smějící se;pousmání;křenící se;grimasa;úsměšek;úsměv;tvář s krokodýlím úsměvem;grimasa;ksicht;úšklebek;usmívající se;škleb;úšklebek;smějící se;pousmání;výraz s úsměvem se smějícíma se očima;křenící se;grimasa;úsměv;úšklebek;výraz drzého úsměvu	usmívající se;škleb;úšklebek;smějící se;křenící se;grimasa;úsměv;usmívající se;škleb;úšklebek;smějící se;výraz s úsměvem se smějícíma se očima;křenící se;grimasa;úsměv;úšklebek;usmívající se;škleb;úšklebek;smějící se;tvář s krokodýlím úsměvem;obličej;křenící se;grimasa;obličeje;úsměv;tvář	úšklebek;usmívající se;škleb;úšklebek;smějící se;křenící se;grimasa;úsměv;škleb;obličeje;grimasa;úšklebek;usmívající se;škleb;úšklebek;smějící se;křenící se;grimasa;úsměv;usmívající se;culení;škleb;usmívat se;úšklebek;smějící se;usmívat;usmát se;usmát;křenící se;pousmát se;grimasa;smát se;smát;ušklíbání;úsměv;úšklebek;usmívající se;škleb;úšklebek;smějící se;křenící se;grimasa;úsměv
rafička	needle on gauge|NOUN|ADP|NOUN						rafička					
telátko	calf|NOUN;little calf|ADJ|NOUN	Wadenmuskel|NOUN		телёнок|NOUN;теленок|NOUN;телец|NOUN		éléphanteau|NOUN	lýtko;tele;jalovice;mládě jistých savců;telecí;vykleštěný býk;telátko;vůl;tur domácí;kráva;teletina;skot;býk;tur;telátko	tele;telátko;tele;jalovice;telecí;vykleštěný býk;telátko;vůl;tur domácí;kráva;telecí maso;kolouch;skot;býk;tur;tele;telátko	tele;vykleštěný býk;telátko;vůl;býk	tele;telátko;tele;telátko;vůl;tur domácí;kráva;skot;býk;tur;tele;telátko;býk		hovězí;hovězí dobytek;tele;hovězí maso;jalovice;telecí;vykleštěný býk;telátko;dobytek hovězí;vůl;tur domácí;kráva;telecí maso;dobytek na maso;skot;býk;tur;slon;tele;telátko;slonice
ukazováček	demonstrator|NOUN;showing finger|VERB|NOUN;pointer|NOUN;teacher|NOUN;insignitor|NOUN;trigger finger|NOUN|NOUN;pointer finger|NOUN|NOUN;arrow-finger|NOUN|PUNCT|NOUN;lickpot|NOUN;forefinger|NOUN;pointling|NOUN;index finger|NOUN|NOUN;index|NOUN	Zeigefinger|NOUN	wijsvinger|NOUN	указа́тельный па́лец|ADJ|NOUN;указательный палец|ADJ|NOUN	dedo índice|ADJ|NOUN;índice|NOUN		demonstrant;předváděč;demonstrátor;ukazováček;ukazovák;výtržník;ukazovák;ukazováček;ručička;ukazatel;ukazováček;kurzor;ukazovák;směrník;instruktor;učitel;akademik;cvičitel;lektor;profesor;přednášející;tutor;domácí učitel;školitel;soukromý učitel;ukazováček;vyučující;ukazovák;ôčêtel;učitelka;ukazovák;ukazováček;ukazovák;ukazováček;ukazovák;ukazováček;ukazovák;ukazováček;ukazovák;ukazováček;ukazovák;ukazováček;ukazovák;ukazováček;ukazovák;ukazováček;ukazovák;ukazováček;znamení;značka;znak;signál;ukazováček;katalog;index;rejstřík;vytvořit rejstřík;ukazatel;signalizace;přepočíst podle indexu;seznam;opatřit indexem;mocnitel;signalizování;indikace;indexovat;exponent;ukazovák;ručička	ukazovák;ukazováček	ukazovák;ukazováček	ukazovák;ukazováček;ukazovák;ukazováček	ukazovák;ukazováček;obsah;slovník;rejstřík;seznam;ukazováček;ukazatel;ukazovák;encyklopedie;index;lexikon	hlavní stránka;rejstřík;ukazováček;kurzor;ukazatel;ukazovák;index
