source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
Czech	English	Deutch	Dutch	Russian	Spanish	French	English	Deutch	Dutch	Russian	Spanish	French
dračice	witch|NOUN;virago|NOUN;fury|NOUN	Drache|NOUN	draak|NOUN	ведьма|NOUN;фурия|NOUN	dragón|NOUN;arpía|NOUN;bruja|NOUN	dragon|NOUN	mužatka;dračice;žena bojovnice;čertice;saň;amazonka;svůdkyně;herdekbaba;dračice;xantipa;čůza;harpyje;divoká lstivá žena;liška;fúrie;megera;čarodějnice;semetrika;čubka;siréna;mořský panna;dračice;vědma;platýs šedohnědý;platýs;strašidlo;začarovat;čaroděj;čarodlnica;ježibaba;semetrika;čaramura;čarodějnice;čerti ocet;vynadání;dračice;hubování;kárání;důtka;saň;silná a agresivní žena;vyhubování;plísnění;pokárání;megera;vyplísnění;čertice;divokost;zběsilost;hněv;dračice;zuřivost;šílenství;vztek;prudkost;zlost;fúrie;běsnění;dračice;ďáblice;saň;komoda;zásuvková skříň;garderobiér;kouzelnice;babizna;dračice;čarodějka;bába;baba;strašidlo;čaroděj;čaramura;čarodějnice	ďáblice;dračice;dračice;drak;saň;souhvězdí draka;drak;svárlivý muž	hřbetozubec milhauserův;dračice;saň;drak;svárlivý muž;kačer	dračice;vědma;harpyje;prostitutka;fúrie;megera;ježibaba;semetrika;čaroděj;čarodějnice;svárlivý muž;saň;dračice;drak;fúrie;lítice;dračice;vzteklá ženská;svárlivý muž;saň;dračice;drak	dračice;saň;dragoun;drak;svárlivý muž;divoký;dračice;dravec;býk;šelma;zuřivý;šlapka;nevěstka;coura;dračice;harpyje;prostitutka;fúrie;megera;kurva;běhna;rachomejtle;děvka;divotvůrce;dračice;xantipa;rachomejtle;vědma;kouzelník;černokněžník;baba;semetrika;čaroděj;kráva;čarodějnice;kouzelnice;štěkna;iluzionista;babizna;čarodějka;bába;mág	dračice;saň;dragoun;ještěr;drak;svárlivý muž
žebračka				нищенка|NOUN						konkubína;žebračka;kurtizána		
spolužačka	fellow pupil|ADJ|NOUN;fellow student|ADJ|NOUN;schoolmate|NOUN			одноклассница|NOUN;однокурсница|NOUN			spolužačka;spolužák;spolužačka;spolužák;spolužačka;spolužák			spolužačka;spolužačka;kolegyně z ročníku;studentka z jednoho ročníku		
ježovka	sea-urchin|ADJ|NOUN;zart|NOUN;hurcheon|NOUN;sea urchin|NOUN|NOUN	Seeigel|NOUN	zee-egel|NOUN	ежа|NOUN;морско́й ёж|ADJ|NOUN;ёж-ры́ба|NOUN;морской ёж|ADJ|NOUN	erizo marino|NOUN|ADJ;erizo de mar|NOUN|ADP|NOUN	châtaigne de mer|NOUN|ADP|NOUN;hérisson de mer|NOUN|ADP|NOUN;oursin|NOUN	mořský ježek;ježovka;ježovka;mořský ježek;ježovka;mořský ježek;ježovka;ježovka;rošťák;mořský ježek;uličník;kyhébek;ježovka;darebák;dareba	ježovka mořská;mořský ježek;ježovka	mořský ježek;ježovka	ježovka;mořský ježek;ježovka;mořský ježek;ježovka;mořský ježek;ježovka	mořský ježek;ježovka;ježovky;mořský ježek;ježovka	mořský ježek;ježovka;mořský ježek;ježovka;mořský ježek;ježovka
živitelka		Ernährerin|NOUN		кормилица|NOUN				živitelka		kojná;chůva;živitelka		
biletářka		Platzanweiserin|NOUN				placeurse|NOUN	uváděč;uvaděčka;uvaděč;biletář;soudní zřízenec;biletářka;uvádět;uvést;uvaděčka;biletářka	uvaděčka;biletářka			uváděč;biletář;biletářka;uvaděčka	uvaděčka;biletářka;uváděč;biletář;biletářka;uvaděčka
sponzorka	godmother|NOUN;patroness|NOUN	Gönnerin|NOUN;Schutzherrin|NOUN				marraine|NOUN	kmotra;sponzorka;patronka;mecenáška;sponzorka	sponzorka;sponzorka				kmotra;sponzorka
borka	bark|NOUN		schors|NOUN	кора|NOUN	corteza|NOUN;ritidoma|NOUN	écorce|NOUN	odpadové dříví z těžby;štěkání;štěkat;štěknout;bark;štěkot;dřevěné odřezky;bárka;odpady z těžby dřeva;kura;loupat kůru;borka;kůra	odpadové dříví z těžby;vrchní kůra;dřevěné odřezky;odpady z těžby dřeva;borka;kůra;jantar;hněv;itálie;kopr;adenozin trifosfát;bolení;borka;čas;biatlon;škrob;austrálie;dub;střelný prach;nebe;sedmý pád;angličtina;finsko;avantgarda;abiturient;předvoj;opálení;cinkání;zlato ;pýcha;kalibrování;mák;chlad;vatikán;únava;stud;spánek;zvonění;břečka;bavorsko;vodík;pohlavní styk;káva;zavazadlo;virtuóznost;zlato;zvuk;virtuozita;prach;pascha;-;astronomie;rakovina;zima;vřískot;velikonoce;šťovík;zlo;albánie;instrumentál;sníh;plastelína;vyčerpanost;bokeh;rakousko;soulož;ocel;seno;zmatek;ruština;opálenost;bolest;kalibrace;japonsko;vrhcáby;hvězdářství;feudalismus;hnis;mela;hedvábí;atp;bílek;březen;vztek;styk	lusk;borka;kůra	zemská kůra;škraloup;kůra zemská;borka;kůra	odpadové dříví z těžby;slupka;pokožka;dřevěné odřezky;kůrka;derma;zemská kůra;škraloup;kůra zemská;odpady z těžby dřeva;borka;kůra;borka	odpadové dříví z těžby;slupka;pokožka;dřevěné odřezky;krusta;kůrka;odpady z těžby dřeva;inkrustace;borka;kůra
