source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
Czech	English	Deutch	Dutch	Russian	Spanish	French	English	Deutch	Dutch	Russian	Spanish	French
dračice	amazon;vixen;witch;virago;fury;she-devil;hag	Teufelsweib;Drache	draak	ведьма;drakon;фурия;zmej	dragón;fiera;arpía;bruja	dragon	mužatka;dračice;žena bojovnice;čertice;saň;amazonka;svůdkyně;herdekbaba;dračice;xantipa;čůza;harpyje;divoká lstivá žena;liška;fúrie;megera;čarodějnice;semetrika;čubka;siréna;mořský panna;dračice;vědma;platýs šedohnědý;platýs;strašidlo;začarovat;čaroděj;čarodlnica;ježibaba;semetrika;čaramura;čarodějnice;čerti ocet;vynadání;dračice;hubování;kárání;důtka;saň;silná a agresivní žena;vyhubování;plísnění;pokárání;megera;vyplísnění;čertice;divokost;zběsilost;hněv;dračice;zuřivost;šílenství;vztek;prudkost;zlost;fúrie;běsnění;dračice;ďáblice;saň;komoda;zásuvková skříň;garderobiér;kouzelnice;babizna;dračice;čarodějka;bába;baba;strašidlo;čaroděj;čaramura;čarodějnice	ďáblice;dračice;dračice;Drak;saň;Souhvězdí Draka;drak;svárlivý muž	hřbetozubec milhauserův;dračice;saň;drak;svárlivý muž;kačer	dračice;vědma;harpyje;prostitutka;fúrie;megera;ježibaba;semetrika;čaroděj;čarodějnice;svárlivý muž;saň;dračice;drak;fúrie;lítice;dračice;vzteklá ženská;svárlivý muž;saň;dračice;drak	dračice;saň;dragoun;drak;svárlivý muž;divoký;dračice;dravec;býk;šelma;zuřivý;šlapka;nevěstka;coura;dračice;harpyje;prostitutka;fúrie;megera;kurva;běhna;rachomejtle;děvka;divotvůrce;dračice;xantipa;rachomejtle;vědma;kouzelník;černokněžník;baba;semetrika;čaroděj;kráva;čarodějnice;kouzelnice;štěkna;iluzionista;babizna;čarodějka;bába;mág	dračice;saň;dragoun;ještěr;drak;svárlivý muž
žebračka				нищенка						konkubína;žebračka;kurtizána		
spolužačka	fellow pupil;fellow student;schoolmate			одноклассница;однокурсница			spolužačka;spolužák;spolužačka;spolužák;spolužačka;spolužák			spolužačka;spolužačka;kolegyně z ročníku;studentka z jednoho ročníku		
ježovka	sea-urchin;zart;hurcheon;sea urchin;echinus;urchin	Seeigel	zee-egel	ежа;морско́й ёж;ёж-ры́ба;морской ёж	erizo marino;erizo de mar	châtaigne de mer;hérisson de mer;oursin	mořský ježek;ježovka;ježovka;mořský ježek;ježovka;mořský ježek;ježovka;ježovka;rošťák;mořský ježek;uličník;kyhébek;ježovka;darebák;dareba	ježovka mořská;mořský ježek;ježovka	mořský ježek;ježovka	ježovka;mořský ježek;ježovka;mořský ježek;ježovka;mořský ježek;ježovka	mořský ježek;ježovka;ježovky;mořský ježek;ježovka	mořský ježek;ježovka;mořský ježek;ježovka;mořský ježek;ježovka
živitelka		Ernährerin		кормилица				živitelka		kojná;chůva;živitelka		
biletářka	usher;usherette	Platzanweiserin			acomodadora	placeurse;ouvreuse	uváděč;uvaděčka;uvaděč;biletář;soudní zřízenec;biletářka;uvádět;uvést;uvaděčka;biletářka	uvaděčka;biletářka			uváděč;biletář;biletářka;uvaděčka	uvaděčka;biletářka;uváděč;biletář;biletářka;uvaděčka
sponzorka	godmother;patroness	Gönnerin;Schutzherrin				marraine	kmotra;sponzorka;patronka;mecenáška;sponzorka	sponzorka;sponzorka				kmotra;sponzorka
borka	bark	Borke;-	schors	кора	corteza;ritidoma	écorce	odpadové dříví z těžby;štěkání;štěkat;štěknout;bark;štěkot;dřevěné odřezky;bárka;odpady z těžby dřeva;kura;loupat kůru;borka;kůra	odpadové dříví z těžby;vrchní kůra;dřevěné odřezky;odpady z těžby dřeva;borka;kůra;jantar;hněv;Itálie;kopr;adenozin trifosfát;bolení;borka;čas;biatlon;škrob;Austrálie;dub;střelný prach;nebe;sedmý pád;angličtina;Finsko;avantgarda;abiturient;předvoj;opálení;cinkání;překládání ''n'';zlato .;pýcha;kalibrování;mák;chlad;Vatikán;únava;stud;spánek;zvonění;břečka;Bavorsko;vodík;pohlavní styk;káva;zavazadlo;virtuóznost;zlato;zvuk;virtuozita;kopaná ''f''.;prach;fotbal ''m''.;Pascha;-;astronomie;rakovina;zima;vřískot;Velikonoce;šťovík;zlo;Albánie;instrumentál;sníh;plastelína;vyčerpanost;bokeh;Rakousko;soulož;ocel;seno;zmatek;ruština;opálenost;bolest;kalibrace;Japonsko;vrhcáby;hvězdářství;feudalismus;hnis;mela;hedvábí;ATP;bílek;březen;vztek;styk	lusk;borka;kůra	zemská kůra;škraloup;kůra zemská;borka;kůra	odpadové dříví z těžby;slupka;pokožka;dřevěné odřezky;kůrka;derma;zemská kůra;škraloup;kůra zemská;odpady z těžby dřeva;borka;kůra;borka	odpadové dříví z těžby;slupka;pokožka;dřevěné odřezky;krusta;kůrka;odpady z těžby dřeva;inkrustace;borka;kůra
