src-text	src-lang	tgt-text	tgt-lang	tgt-lang-var
vodík	ces	Waſſerſtoff	deu	157
uhlík	ces	Kohlenſtoff	deu	157
chlapík	ces	Bub	deu	157
kopřivka	ces	Dermatose	deu	157
písnička	ces	Gesang	deu	157
písnička	ces	Gesang	deu	157
nádobka	ces	Gefäß	deu	157
nádržka	ces	Gefäß	deu	157
kuřátko	ces	Kücken	deu	157
okrsek	ces	Provinz	deu	157
okrsek	ces	Territorium	deu	157
lopatka	ces	Zehe	deu	157
stroužek	ces	Zehe	deu	157
stroužek	ces	Zehe	deu	157
stroužek	ces	Zehe	deu	157
lavička	ces	bench	eng	187
lavička	ces	bench	eng	187
lavička	ces	bench	eng	187
lavička	ces	bench	eng	187
lavička	ces	bench	eng	187
lavička	ces	bench	eng	187
lavička	ces	bench	eng	187
lavička	ces	bench	eng	187
konvička	ces	blik	nld	512
lopatka	ces	blik	nld	512
korunka	ces	coronet	eng	187
korunka	ces	coronet	eng	187
korunka	ces	coronet	eng	187
šípek	ces	cynorhodon	fra	211
ovečka	ces	cordero	spa	666
jehňátko	ces	cordero	spa	666
kráska	ces	guapa	spa	666
kvítek	ces	fleuris	fra	211
květinka	ces	fleuris	fra	211
troška	ces	little	eng	187
květinka	ces	little	eng	187
kvíteček	ces	little	eng	187
kvítek	ces	little	eng	187
rybka	ces	little	eng	187
linka	ces	koers	nld	512
kladívko	ces	malleus	eng	187
stroupek	ces	postilla	spa	666
brouček	ces	nouveau-né	fra	211
miminko	ces	nouveau-né	fra	211
kobylka	ces	sprinkhaan	nld	512
kobylka	ces	sprinkhaan	nld	512
kobylka	ces	sprinkhaan	nld	512
kobylka	ces	sprinkhaan	nld	512
kobylka	ces	sprinkhaan	nld	512
děvečka	ces	servante	fra	211
žlábek	ces	вырез	rus	620
hrbolek	ces	кочка	rus	620
hrbolek	ces	кочка	rus	620
slabůstka	ces	стиля	rus	620
pramének	ces	сток	rus	620
dílek	ces	кусо́к	rus	620
troška	ces	кусо́к	rus	620
plátek	ces	кусо́к	rus	620
hvězdička	ces	Asterisk	deu	157
hvězdička	ces	Asterisk	deu	157
planetka	ces	Asteroid	deu	157
pýchavka	ces	boviste	fra	211
plenka	ces	pamper	nld	512
jednotka	ces	Matrizeneinheit	deu	157
jednotka	ces	Matrixeinheit	deu	157
průsečík	ces	Kreuzungspunkt m	deu	157
jednotka	ces	Einselenent	deu	157
jednotka	ces	Einheitselement	deu	157
jednotka	ces	Einseinheit	deu	157
školka	ces	kindergarten	eng	6870
kladka	ces	Kettenzug	deu	10258
prsteníček	ces	fourth finger	eng	6870
plenka	ces	Windle	deu	10260
brusinka	ces	atoca	fra	10372
školka	ces	kindergarden	eng	6871
svíčka	ces	sparking plug	eng	6871
prsteníček	ces	third finger	eng	6871
brusinka	ces	grande airelle rouge d’Amérique du Nord	fra	211
lebka	ces	skull	eng	6871
lebka	ces	cráneo	spa	10365
hovínko	ces	Kothaufen	deu	157
hovínko	ces	pile of poo	eng	187
hovínko	ces	pile of poo	eng	6871
hovínko	ces	caca con ojos	spa	666
hovínko	ces	caca	spa	10365
andílek	ces	cara de angelito	spa	666
andílek	ces	baby angel	eng	187
andílek	ces	baby angel	eng	6871
andílek	ces	baby-engel	nld	512
andílek	ces	cara de ángel bebé	spa	10365
prostředníček	ces	middle finger	eng	6871
prostředníček	ces	dedo corazón hacia arriba	spa	666
prostředníček	ces	dedo medio	spa	10365
tričko	ces	t-shirt	eng	6871
tričko	ces	camiseta	spa	10365
