src-text	src-lang	tgt-text	tgt-lang	tgt-lang-var
vrstevnice	ces	Höhenlinie	deu	157
vrstevnice	ces	Höhenlinie	deu	157
vrstevnice	ces	Höhenlinie	deu	157
vrstevnice	ces	Höhenlinie	deu	157
krasavice	ces	guapa	spa	666
indiánka	ces	indienne	fra	211
profesorka	ces	professor	eng	187
profesorka	ces	professor	eng	187
profesorka	ces	professor	eng	187
profesorka	ces	professor	eng	187
služebnice	ces	servante	fra	211
prorokyně	ces	profete	nld	512
domovnice	ces	Abwart	deu	157
sčítačka	ces	Ziffernaddiereinrichtung	deu	157
autorka	ces	Autorin	deu	157
autorka	ces	Autorin	deu	157
princezna	ces	princess	eng	6871
princezna	ces	cara de princesa	spa	666
princezna	ces	princesa	spa	10365
holubice	ces	dove	eng	6871
holubice	ces	paloma de la paz	spa	666
holubice	ces	paloma	spa	10365
svatba	ces	wedding	eng	6871
svatba	ces	trouwkapel	nld	512
svatba	ces	iglesia celebrando boda	spa	666
svatba	ces	casamiento en capilla	spa	10365
motorka	ces	motorcycle	eng	6871
motorka	ces	motocicleta	spa	10365
panna	ces	Sternzeichen Jungfrau	deu	157
panna	ces	virgo	eng	6871
panna	ces	maagd (sterrenbeeld)	nld	512
panna	ces	знак зодиака Дева	rus	620
panna	ces	Virgo	spa	10365
císařovna	ces	Empress	eng	187
kreslířka	ces	Kasten	deu	157
kořalka	ces	Schnaps	deu	157
kořalka	ces	Schnaps	deu	157
kořalka	ces	Schnaps	deu	157
borka	ces	-	deu	157
dvacátnice	ces	Twen	deu	157
čarodějnice	ces	Vettel	deu	157
archivářka	ces	archiviste	fra	211
knihovnice	ces	archiviste	fra	211
ateistka	ces	atheist	eng	187
ateistka	ces	atheist	eng	187
tužka	ces	-e	deu	157
manželka	ces	-en	deu	157
manželka	ces	-er	deu	157
plemenice	ces	mothers	eng	187
sousedka	ces	neighbour	eng	187
sousedka	ces	neighbour	eng	187
sousedka	ces	neighbour	eng	187
sousedka	ces	neighbour	eng	187
sousedka	ces	neighbour	eng	187
sousedka	ces	neighbour	eng	187
paní	ces	nounou	fra	211
hlístice	ces	nématodes	fra	211
básnířka	ces	poeta	spa	666
básnířka	ces	poeta	spa	666
potápka	ces	нырок	rus	620
avanturistka	ces	Abenteurerin	deu	157
hazardérka	ces	Abenteurerin	deu	157
hazardérka	ces	Abenteurerin	deu	157
avanturistka	ces	Abenteurerin	deu	157
maturantka	ces	Abiturientin	deu	157
absolventka	ces	Absolventin	deu	157
absolventka	ces	Absolventin	deu	157
představená	ces	Abtissin	deu	157
převorka	ces	Abtissin	deu	157
absolventka	ces	Absolvent	deu	157
sčítačka	ces	Addiermaschine	deu	157
sčítačka	ces	Addiermaschine	deu	157
sčítačka	ces	Addierer	deu	157
sčítačka	ces	Addierwerk	deu	157
adeptka	ces	Adeptin	deu	157
šlechtična	ces	Adlige	deu	157
ošetřovatelka	ces	Afro-Amerikanerin	deu	157
ještěrka	ces	Agama	deu	157
ještěrka	ces	Agamidae	deu	157
agentka	ces	Agentin	deu	157
ateistka	ces	Agnostiker	deu	157
akrobatka	ces	Akrobatin	deu	157
diplomatka	ces	Aktenkoffer	deu	157
diplomatka	ces	Aktentasche	deu	157
svůdkyně	ces	Alarmanlage	deu	157
alkoholička	ces	Alkoholikerin	deu	157
alpinistka	ces	Alpinistin	deu	157
stařena	ces	Alte	deu	157
stařena	ces	Alte	deu	157
stařena	ces	Alte	deu	157
vrstevnice	ces	Altersgenossin	deu	157
altistka	ces	Altistin	deu	157
mužatka	ces	Amazone	deu	157
kolegyně	ces	Amtsbruder	deu	157
indiánka	ces	Amérindien	fra	211
indiánka	ces	Amérindienne	fra	211
roztleskávačka	ces	Anfeuerer	deu	157
andělika	ces	Angelika	deu	157
zaměstnankyně	ces	Angestellte	deu	157
zaměstnankyně	ces	Angestellte	deu	157
dělnice	ces	Angestellte	deu	157
dělnice	ces	Angestellte	deu	157
pracovnice	ces	Angestellte	deu	157
zaměstnankyně	ces	Angestellte	deu	157
anglistka	ces	Anglicist	eng	187
anglistka	ces	Anglist	deu	157
dělnice	ces	Angestellter	deu	157
stopařka	ces	Anhalterin	deu	157
stopařka	ces	Anhalterin	deu	157
stopařka	ces	Anhalterin	deu	157
stopařka	ces	Anhalter	deu	157
stopařka	ces	Anhalter	deu	157
přívrženkyně	ces	Anhängerin	deu	157
stoupenkyně	ces	Anhängerin	deu	157
animátorka	ces	Animator	deu	157
animátorka	ces	Animatorin	deu	157
ještěrka	ces	Anolis	deu	157
sousedka	ces	Anrainer	deu	157
ježatka	ces	Antilopengras	deu	157
