source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
Czech	English	Deutch	Dutch	Russian	Spanish	French	English	Deutch	Dutch	Russian	Spanish	French
motocyklíček												
gramofonek												
architektonika				архитектура|NOUN;зодчество|NOUN;архитектоника|NOUN						architektura;stavitelství;architektonika;architektura;architektonika;architektonika		
amorek												
bavoráček												
benjamínek												
náboženstvíčko												
dalmatinek												
indiánek												
jezulátko		Lübecker Hütchen|ADJ|NOUN;Leitkegel|NOUN;Haberkornhütchen|NOUN;Pylon|NOUN;Verkehrshütchen|NOUN;Verkehrsstöggel|NOUN;Verkehrsleitkegel|NOUN;Hosenmatz|NOUN	peuter|NOUN	малыш|NOUN	nene|NOUN	plot|NOUN;cône de chantier|NOUN|ADP|NOUN;enfant qui commence à marcher|NOUN|PRON|VERB|ADP|VERB		děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě	děcko;děťátko;mladík;dopravní kužel;uličník;neotesanec;mládenec;jezulátko;batole;dítě;učitelka mateřské školy	děcko;děťátko;dopravní kužel;jezulátko;batole;dítě	děcko;děťátko;dopravní kužel;jezulátko;batole;dítě	děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dci;dopravní kužel;syn;k ničemu;dceřin;dcera;malý;jezulátko;nevelký;malicherný;batole;ubohý;potomek;dítě;podzemnicový;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě
jidášek												
zákampíčko												
kašpárek												
konfuciánek												
labradorek												
lesbička	gay|NOUN	Lesbierin|NOUN	lesbienne|NOUN	лесбиянка|NOUN		gouine|NOUN	lesba;lesbička;homosexuálka;teplý;lesbička;lesba;homosexuálka;lesba;lesbička;homosexuálka	lesba;lesbička;homosexuálka;lesba;lesbička;homosexuálka;drsňák	lesba;lesbička;homosexuálka	lesba;lesbička;homosexuálka;lesbický	lesba;lesbička;homosexuálka;lesbický	lesbický;lesbička;homosexuálka;lesba;homosexuál;lesba;lesbička;homosexuálka;drsňák
medúzka												
tatřička												
ukrajinistika												
vlašáček												
vysočinka												
jorkšírek												
absurditka												
adventurka												
aerolinka												
aférka												
akátek												
akcička												
aktovčička												
aktovečka												
aktualitka												
albíčko												
aldinka												
alkoholek												
almárka												
almuženka												
almužnička												
