source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
Czech	English	Deutch	Dutch	Russian	Spanish	French	English	Deutch	Dutch	Russian	Spanish	French
motocyklíček												
gramofonek												
architektonika				архитектура;зодчество;архитектоника						architektura;stavitelství;architektonika;architektura;architektonika;architektonika		
amorek												
bavoráček												
benjamínek												
náboženstvíčko												
dalmatinek												
indiánek												
jezulátko		Lübecker Hütchen;Leitkegel;Haberkornhütchen;Pylon;Verkehrshütchen;Knirps;Verkehrsstöggel;Verkehrsleitkegel;Hosenmatz	peuter	малыш	nene	plot;cône de chantier;petit;enfant qui commence à marcher		děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě	děcko;děťátko;mladík;dopravní kužel;uličník;neotesanec;mládenec;jezulátko;batole;dítě;učitelka mateřské školy	děcko;děťátko;dopravní kužel;jezulátko;batole;dítě	děcko;děťátko;dopravní kužel;jezulátko;batole;dítě	děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě;děcko;děťátko;dci;dopravní kužel;syn;k ničemu;dceřin;dcera;malý;jezulátko;nevelký;malicherný;batole;ubohý;potomek;dítě;podzemnicový;děcko;děťátko;dopravní kužel;jezulátko;batole;dítě
jidášek												
zákampíčko												
kašpárek												
konfuciánek												
labradorek												
lesbička	lesbian;gay;lesbo	Lesbierin;Lesbe	lesbienne	лесбиянка	lesbiana	lesbienne;gouine	lesba;lesbička;homosexuálka;teplý;lesbička;lesba;homosexuálka;lesba;lesbička;homosexuálka	lesba;lesbička;homosexuálka;lesba;lesbička;homosexuálka;drsňák	lesba;lesbička;homosexuálka	lesba;lesbička;homosexuálka;lesbický	lesba;lesbička;homosexuálka;lesbický	lesbický;lesbička;homosexuálka;lesba;homosexuál;lesba;lesbička;homosexuálka;drsňák
medúzka												
tatřička												
ukrajinistika												
vlašáček												
vysočinka												
jorkšírek												
absurditka												
adventurka												
aerolinka												
aférka												
akátek												
akcička												
aktovčička												
aktovečka												
aktualitka												
albíčko												
aldinka												
alkoholek												
almárka												
almuženka												
almužnička												
altánek	roundabout;arbour;traffic circle;summerhouse;belvedere	Pavillon;Laube	zomerhuis;zomerhuisje;prieel	бельведер		gloriette;pavillon	altánek;letní altán;altán;letní sídlo;altánek;letní altán;altán;letní sídlo;altánek;letní altán;altán;letní sídlo;altánek;letní altán;altán;letní sídlo;altánek;letní altán;altán;letní sídlo	letní sídlo;pavilon;altán;velký stan;altánek;letní altán;altánek;letní altán;altán;letní sídlo	altánek;letní altán;altán;letní sídlo;altánek;letní altán;altán;letní sídlo;altánek;letní altán;altán;letní sídlo	letní sídlo;belvedér;altán;altánek;letní altán		altánek;letní altán;altán;letní sídlo;letní sídlo;pavilon;altán;velký stan;altánek;letní altán
ambitek												
