source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
Czech	English	Deutch	Dutch	Russian	Spanish	French	English	Deutch	Dutch	Russian	Spanish	French
motocyklistka												
komediografka												
petrografka												
telepatka												
monopolistka												
architektka	architect|NOUN	Architektin|NOUN;Baukünstler|NOUN;Architekt|NOUN	bouwmeester|NOUN;architect|NOUN	архитектор|NOUN;создатель|NOUN;зодчий|NOUN	arquitecta|NOUN;arquitecto|NOUN	architecte|NOUN	architekt;stavitel;tvůrce;budovatel;architektka;konstruktor;konstruktér	architektka;architekt;stavitel;architektka;architekt;stavitel;architektka;architekt;stavitel	architektka;architekt;stavitel;architektka;architekt;stavitel;architektka;architekt;stavitel	architektka;architekt;stavitel;architekt;stavitel;tvůrce;autor;výrobce;architektka;zhotovitel;architektka;architekt;stavitel	architektka;architekt;stavitel;architektka;architekt;stavitel	architektka;architekt;stavitel
adamitka												
afrikanistka												
alpinkářka												
alpinistka												
amazoňanka												
amerikanistka												
antiamerikanistka												
angličtinářka												
neangličtinářka												
arabistka												
asijka												
augustiniánka												
belgičanka												
bergsonistka												
betlémářka												
bonapartistka												
brahmínka												
bráhmanka												
buddhistka												
bezbožnice												
zbožnovatelka												
zbožšťovatelka												
darwinistka												
dominikánka												
antievropanka												
filištínka												
francouzštinářka												
frankistka												
franštinářka												
františkánka												
gaullistka												
germanistka												
havelka												
hebraistka												
helénistka												
hotentotka												
husitka												
indiánka		Indianerin|NOUN		скво|NOUN;индианка|NOUN				indiánská žena;indiánská dívka;indiánka;indiánská žena;indiánská dívka;indiánka		indiánská žena;indiánská dívka;indiánka;indiánská žena;indiánská dívka;indiánka		indiánská žena;indiánská dívka;indiánka
izraelitka												
japončice												
jehovistka												
judaistka												
kalvinistka												
karmelitka												
karmelitánka												
kašparka												
koreanistka												
labradorka												
lazarka												
lazaristka												
leninistka												
lumírovkyně												
luteránka												
maoistka												
marxistka												
moonistka												
moravistka												
ultramoravistka												
mohamedánka												
neptunistka												
němčinářka												
poněmčovatelka												
olympionička												
onanistka												
peronistka												
platónovkyně												
pražanka												
donkichotka												
ruštinářka												
rusistka												
sadistka												
samaritánka												
antisionistka												
sionistka	zionist|NOUN	Zionist|NOUN;Zionistin|NOUN	zioniste|NOUN;zionist|NOUN	сионист|NOUN	sionista|NOUN		sionista;sionistka	sionista;sionistka;sionista;sionistka	sionista;sionistka;sionista;sionistka	sionista;sionistka	sionista;sionistka	
sparťanka												
exsparťanka												
spartakiádnice												
stachanovka												
antistalinistka												
stalinistka				сталинист|NOUN;сталинец|NOUN						stalinista;stalinistka;stalinista;stalinistka		stalinista;stalinistka
tatarka												
titánka												
tomistka												
trockistka												
poturčenkyně												
vltavanka												
wagneriánka												
wikipedistka												
jorkšírka												
abiturientka												
abolicionistka												
absentérka												
absolutistka												
absolventnice												
