source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
Czech	English	Deutch	Dutch	Russian	Spanish	French	English	Deutch	Dutch	Russian	Spanish	French
motocyklistka												
komediografka												
petrografka												
telepatka												
monopolistka												
architektka	architect	Architektin;Baukünstler;Architekt	bouwmeester;architect;bouwkundige	архитектор;создатель;зодчий	arquitecta;arquitecto	architecte	architekt;stavitel;tvůrce;budovatel;architektka;konstruktor;konstruktér	architektka;architekt;stavitel;architektka;architekt;stavitel;architektka;architekt;stavitel	architektka;architekt;stavitel;architektka;architekt;stavitel;architektka;architekt;stavitel	architektka;architekt;stavitel;architekt;stavitel;tvůrce;autor;výrobce;architektka;zhotovitel;architektka;architekt;stavitel	architektka;architekt;stavitel;architektka;architekt;stavitel	architektka;architekt;stavitel
adamitka												
afrikanistka												
alpinkářka												
alpinistka												
amazoňanka												
amerikanistka												
antiamerikanistka												
angličtinářka												
neangličtinářka												
arabistka												
asijka												
augustiniánka												
belgičanka												
bergsonistka												
betlémářka												
bonapartistka												
brahmínka												
bráhmanka												
buddhistka												
bezbožnice												
zbožnovatelka												
zbožšťovatelka												
darwinistka												
dominikánka												
antievropanka												
filištínka												
francouzštinářka												
frankistka												
franštinářka												
františkánka												
gaullistka												
germanistka												
havelka												
hebraistka												
helénistka												
hotentotka												
husitka												
indiánka		Squaw;Indianerin		скво;индианка		squaw		indiánská žena;indiánská dívka;indiánka;indiánská žena;indiánská dívka;indiánka		indiánská žena;indiánská dívka;indiánka;indiánská žena;indiánská dívka;indiánka		indiánská žena;indiánská dívka;indiánka
izraelitka												
japončice												
jehovistka												
judaistka												
kalvinistka												
karmelitka												
karmelitánka												
kašparka												
koreanistka												
labradorka												
lazarka												
lazaristka												
leninistka												
lumírovkyně												
luteránka												
maoistka												
marxistka												
moonistka												
moravistka												
ultramoravistka												
mohamedánka												
neptunistka												
němčinářka												
poněmčovatelka												
olympionička												
onanistka												
peronistka												
platónovkyně												
pražanka												
donkichotka												
ruštinářka												
rusistka												
sadistka												
samaritánka												
antisionistka												
sionistka	Zionist	Zionist;Zionistin	zioniste;zionist	сионист	sionista		sionista;sionistka	sionista;sionistka;sionista;sionistka	sionista;sionistka;sionista;sionistka	sionista;sionistka	sionista;sionistka	
sparťanka												
exsparťanka												
spartakiádnice												
stachanovka												
antistalinistka												
stalinistka				сталинист;сталинец		staliniste				stalinista;stalinistka;stalinista;stalinistka		stalinista;stalinistka
tatarka												
titánka												
tomistka												
trockistka												
poturčenkyně												
vltavanka												
wagneriánka												
wikipedistka												
jorkšírka												
abiturientka												
abolicionistka												
absentérka												
absolutistka												
absolventnice												
absolventka	graduate	ehemalige Studentin;Absolvent;ehemalige Schülerin;Absolventin;ehemaliger Schüler		выпускник	titulado;diplomado	ancien élève;ancienne élève	absolventka;absolvent	absolventka;absolvent;absolventka;licenciát;absolvent;absolventka;absolvent;absolventka;absolvent;absolventka;absolvent		absolventka;absolvent	absolventka;absolvent;absolventka;absolvent	absolventka;absolvent;absolventka;absolvent
absorbérářka												
abstinentka												
abstrakcionistka												
adaptátorka												
adaptérka												
adeptka												
adjutantka												
administrátorka												
admirálka												
adolescentka												
preadolescentka												
adoptantka												
adoptovatelka												
adresátka												
adresantka												
adventistka												
advokátka												
aeronautka												
afišistka												
aforistka												
afrocentristka												
agentka												
