source	forward	forward	forward	forward	forward	forward	backward	backward	backward	backward	backward	backward
Czech	English	Deutch	Dutch	Russian	Spanish	French	English	Deutch	Dutch	Russian	Spanish	French
adventurka			adventure-game|NOUN;adventuregame|NOUN;piratenstrip|NOUN	адвенчура|NOUN	plataformera|NOUN;pelicuala|NOUN			adventurku;adventurka	adventurku;gamesce;gamesku;adventurka;adventuru;adventuru;adventurou;adventurku;adventura;adventury;adventurou;plošinovku;adventurka;adventurycd;adventurka	adventura;hopsačka;adventurka	hopsačka;arkádovka;plošinovka;adventura;gameska;adventurka;adventurka;plošinovku;deskovka;adventurka	
aerolinka	shot-down|NOUN|PUNCT|ADV;mjolnir|NOUN	fluggesellschaft|NOUN;billig-airline|NOUN|X;us-fluggesellschaft|NOUN	vliegtuigmaatschappij|NOUN;vliegmaatschappij|NOUN;luchthavenpersoneel|NOUN;luchtvaartbedrijf|NOUN	авиакомпания|NOUN;авиалиния|NOUN;авиаκомпания|NOUN;госавиаслужба|NOUN;лоукостер|NOUN;авиаперевозчик|NOUN	aerolínea|NOUN;aerolinea|NOUN;qantas|NOUN	westjet|NOUN;transaero|NOUN;long-courrier|NOUN	aerolinka;aerolinka;komisi;závadě;aerolinka;su-7bkl;aerolinek;jak-130;aerolinka;a-101;aerolinka	aerolinek;aerolinka;aerolinka;aerolinku;aerolinky;dopravce;aerolinek;aerolinií;aerolinka;aerolinek;aerolinie;přepravce;aerolinku;aerolinkou;aerolinií;aerolince;aerolinka;aerolinka;aerolinku;aerolinií;aerolince;aerolinky;aeroliní;aerolinkou;aerolinka;aerolinie;aerolinek;aerolinkou;aerolinek;ryanairu;easyjetu;aerolinkou;aerolinku;aerolinek;aerolinka;aerolinka	aerolinek;aerolinka;aerolinky;aerolinek;aerolinka;aerolinku;aerolinku;aerolinkou;aerolinií;aerolinkou;aerolinky;aerolinka;aerolinku;aerolince;lufthansu;aerolince;aerolinka;aeroliniích	aerolinka;aerolinka;aerolinka;charterová;aerolinie;aerolinka;ryanair;lowcost;dopravce;aerolinka;touroperátor;aerolinka	aerolinka;aerolinka;aerolinku;aerolinek;aerolinkou;dopravce;aerolinie;cestovka;aerolinky;aerolinkou;aerolinií;charterová;přepravce;aerolinek;aerolinka;aerolinek;easyjetu	aeroflot;aerolinka;transaero;skyteam;aerolinie;aerolinka;aeroflotu;aerolinku;alitalie;aerolinky;aeroflotem;aerolinka
aférka			affaire|NOUN;liefdesaffaire|NOUN;mediaheisa|NOUN;schandaalpers|NOUN	интрижка|NOUN;перепалка|NOUN;размолвка|NOUN	comidilla|NOUN	passade|NOUN	aférka	aférce;aférka;aférky;aférku;aféry;románku;aférka;románku;aférka;hereččině	aférka;aférce;aféru;aférku;aférkou;aférky;aféra;románku;aférka;aféry;aférka;aférka;histerie;románek;eskapádu;aférek	aférka;avantýra;nevěra;hádka;roztržka;hádka;potyčka;roztržka;medializovaná;aférka;aférka;debata;aférka;propíraná	aférka;skandálního;scénka;scéna;aférka;aférka	aférka;aférka
akcička	milesif|NOUN		kersthappening|NOUN;spelletjesdag|NOUN	покатушка|NOUN;посиделка|NOUN;покатуха|NOUN;сходка|NOUN;пьянка|NOUN;тусня|NOUN;вечеринка|NOUN	fiestecilla|NOUN;fiestita|NOUN		akcička	akcička	štrůdlování;jarmark;drakiádu;plessetkání;akcička;celotáborová;akcičky;akcička	vyjížďka;akcička;vyjíždka;cyklojízda;vyjížďka;akcička;rozlučka;chlastačka;kalba;akcička;štreka;akcička;chlastačka;párty;partyja;akcička;zábavka;vyjíždka;vyjížïka;vycházka;tancovačka;sešlost;banketka;grilovačka;kávička;večírek;akcička;megapárty;akcička;akcička;diskotéka;grilovačka;tancovačka;párty;kalba	akcičku;diskošku;párty;akcička;srazíku;srazu;kalba;grilovačka;besídku;kalbu;akcička;oslavičku;akcičku;sraze;srazem;akcičky;párty;sraz;akcička;akcička	
albíčko						pageounette|NOUN;photoet|NOUN		fotoalbu;albíčko;albíčko				fotečce;albíčko;fotešky;fotečce;fotecku;fotečky;fotkya;fotečky;fotky-;foťáčku;fotak;albíčko
altánek	rideing|NOUN;couger|NOUN	grillplatz|NOUN;gartenhäuschen|NOUN	prieeltje|NOUN;prieel|NOUN;theehuisje|NOUN;tuinprieel|NOUN;tuinhuisje|NOUN;tuinpaviljoen|NOUN;muziektent|NOUN	шатер|NOUN;шатёр|NOUN	cenador|NOUN;merendero|NOUN;jardín|NOUN	gazebo|NOUN;gazébo|NOUN;jardin|NOUN	altánek;trůnil;schodů;hrobeček;altánek	altán;altánek;altánem;altánek;altánku;altán;altánek;altánku;altánkem;altánek;altán;altánky;domek;altánu;chatičku;domeček;pergolu;chatku;altánek;chatičkou	altánek;altánku;altánek;altán;altánek;domek;altánek;altán;chatku;pergole;altánek;altánek;domeček;altánek	stan;altán;altánek;stan;altánek;přístřešek	altánek;altán;parčík;altánku;plácek;kuželník;domem;altánek;hasičárnu;klubovnu;výletiště;penzionem;altánkem;zahradu;plácek;altánek;zahradě;zahrady;zahrádku;dvorek;zahradou;zahrada;altánek	zahradu;zahradě;zahrada;zahrady;zahrádku;skleník;altán;altánek;altánem;zahrádka;dvorek;altánek;altánek;zahradu-;altán;krb
amorek			ophelie|NOUN;harlekijn|NOUN	трень-брень|NOUN|PUNCT|NOUN	truffaldino|NOUN			amor;amorek;amorem;amors;kupida;amorem;cupida;amorem;satyra;amorek;tritona;amoret;bakchus;amorek;loplopa;amorek;bakchuse;satyrů	amorek;luciper;harlekýn;amorek	amorek;uspávanka;hejásek;trapsavec;ukolébavka;helimadoe;madlén	herkules;leporello;amorek;amorek;amor	humoreska;balada;amorek;ječmínkovi
ampulka							ampulka	ampulka;ampuli				
