adventurka		adventure-computerspiel	adventure-game;adventuregame;piratenstrip	адвенчура	plataformera;mulana;pelicuala			adventurku;adventurka	adventurku;gamesce;gamesku;adventurka;adventuru;adventuru;adventurou;adventurku;adventura;adventury;adventurou;plošinovku;adventurka;adventurycd;adventurka	adventura;hopsačka;adventurka	hopsačka;arkádovka;plošinovka;adventura;gameska;adventurka;adventurka;plošinovku;deskovka;adventurka	
aerolinka	mekon;shot-down;barnstar;zangyack;mjolnir	fluglinie;fluggesellschaft;airline;us-airline;billig-airline;us-fluggesellschaft;billigairline;us-fluglinie	vliegtuigmaatschappij;vliegmaatschappij;luchthavenpersoneel;luchtvaartbedrijf	авиакомпания;авиалиния;авиаκомпания;госавиаслужба;лоукостер;авиаперевозчик	aerolínea;aerolinea;qantas	westjet;transaero;long-courrier	aerolinka;aerolinka;komisi.;závadě;aerolinka;su-7bkl;aerolinek;jak-130;aerolinka;a-101;aerolinka	aerolinek;aerolinka;aerolinka;aerolinku;aerolinky;dopravce;aerolinek;aerolinií;aerolinka;aerolinek;aerolinie;přepravce;aerolinku;aerolinkou;aerolinií;aerolince;aerolinka;aerolinka;aerolinku;aerolinií;aerolince;aerolinky;aeroliní;aerolinkou;aerolinka;aerolinie;aerolinek;aerolinkou;aerolinek;ryanairu;easyjetu;aerolinkou;aerolinku;aerolinek;aerolinka;aerolinka	aerolinek;aerolinka;aerolinky;aerolinek;aerolinka;aerolinku;aerolinku;aerolinkou;aerolinií;aerolinkou;aerolinky;aerolinka;aerolinku;aerolince;lufthansu;aerolince;aerolinka;aeroliniích	aerolinka;aerolinka;aerolinka;charterová;aerolinie;aerolinka;ryanair;lowcost;dopravce;aerolinka;touroperátor;aerolinka	aerolinka;aerolinka;aerolinku;aerolinek;aerolinkou;dopravce;aerolinie;cestovka;aerolinky;aerolinkou;aerolinií;charterová;přepravce;aerolinek;aerolinka;aerolinek;easyjetu	aeroflot;aerolinka;transaero;skyteam;aerolinie;aerolinka;aeroflotu;aerolinku;alitalie;aerolinky;aeroflotem;aerolinka
aférka	stooge	affäre;liebesaffäre;sex-affäre	affaire;liefdesaffaire;mediaheisa;schandaalpers	интрижка;перепалка;размолвка;скандальная	comidilla;escándalosa;escenita	passade;mini-polémique	aférka	aférce;aférka;aférky;aférku;aféry;románku;aférka;románku;aférka;hereččině	aférka;aférce;aféru;aférku;aférkou;aférky;aféra;románku;aférka;aféry;aférka;aférka;histerie;románek;eskapádu;aférek	aférka;avantýra;nevěra;hádka;roztržka;hádka;potyčka;roztržka;medializovaná;aférka;aférka;debata;aférka;propíraná	aférka;skandálního;scénka;scéna;aférka;aférka	aférka;aférka
akcička	miles.if	riesengaudi	kersthappening;spelletjesdag	покатушка;посиделка;движуха;покатуха;сходка;пьянка;тусня;вечеринка	fiestecilla;fiestita;superfiesta;kedada		akcička	akcička	štrůdlování;jarmark;drakiádu;plessetkání;akcička;celotáborová;akcičky;akcička	vyjížďka;akcička;vyjíždka;cyklojízda;vyjížďka;akcička;rozlučka;chlastačka;kalba;akcička;štreka;akcička;chlastačka;párty;partyja;akcička;zábavka;vyjíždka;vyjížïka;vycházka;tancovačka;sešlost;banketka;grilovačka;kávička;večírek;akcička;megapárty;akcička;akcička;diskotéka;grilovačka;tancovačka;párty.;kalba	akcičku;diskošku;párty;akcička;srazíku;srazu;kalba;grilovačka;besídku;kalbu;akcička;oslavičku;akcičku;sraze;srazem;akcičky;párty;sraz;akcička;akcička	
albíčko		webalbum;bestof				pageounette;photoet		fotoalbu;albíčko;albíčko				fotečce;albíčko;fotešky;fotečce;fotecku;fotečky.;fotky.a;fotečky;fotky-;foťáčku;fotak;albíčko
altánek	rideing;couger	holzpavillon;gartenpavillion;gartenpavillon;grillplatz;gartenhäuschen	prieeltje;prieel;theehuisje;tuinprieel;tuinhuisje;tuinpaviljoen;muziektent	шатер;шатёр	cenador;parquecito;merendero;jardín	gazebo;gazébo;jardin	altánek;trůnil;schodů.;hrobeček;altánek	altán;altánek;altánem;altánek;altánku;altán;altánek;altánku;altánkem;altánek;altán;altánky;domek;altánu;chatičku;domeček;pergolu;chatku;altánek;chatičkou	altánek;altánku;altánek;altán;altánek;domek;altánek;altán;chatku;pergole;altánek;altánek;domeček;altánek	stan;altán;altánek;stan;altánek;přístřešek	altánek;altán;parčík;altánku;plácek;kuželník;domem;altánek;hasičárnu;klubovnu;výletiště;penzionem;altánkem;zahradu;plácek;altánek;zahradě;zahrady;zahrádku;dvorek;zahradou;zahrada;altánek	zahradu;zahradě;zahrada;zahrady;zahrádku;skleník;altán;altánek;altánem;zahrádka;dvorek;altánek;altánek;zahradu-;altán;krb
amorek		amor;cupido;cupidos;goldini	ophelie;harlekijn	трень-брень	cupido;truffaldino	gastibelza		amor;amorek;amorem;amors;kupida;amorem;cupida;amorem;satyra;amorek;tritona;amoret;bakchus;amorek;loplopa;amorek;bakchuse;satyrů	amorek;luciper;harlekýn;amorek	amorek;uspávanka;hejásek;trapsavec;ukolébavka;helimadoe;madlén	herkules;leporello;amorek;amorek;amor	humoreska;balada;amorek;ječmínkovi
ampulka	willowbark	phiole					ampulka	ampulka;ampuli				
andílek		engelchen;engelchen	engeltje;engeltje	ангелочек;ангелочек	angelito;angelito;angelote;angelote	ange;ange;angelot;angelot		andílek;andílek;andělíček;andělíček;andílku;andílku;andílka;andílka;anděli;anděli;andílky;andílky;andělky;andělky;andílkem;andílkem;andělíčci;andělíčci;andílci;andílci	andílek;andílek;andělíček;andělíček;andílka;andílka;anděla;anděla;andílku;andílku	andílek;andílek;andělíček;andělíček	andílek;andílek;andělíček;andělíček;andělíček;andělíček;andílek;andílek	anděla;anděla;strážnej;strážnej;andílek;andílek;anděla;anděla;andělíček;andělíček;andělíčka;andělíčka;andílek;andílek;andělem;andělem;andílka;andílka;andělíček;andělíček;anděle;anděle;pokušitel;pokušitel
andělíček	lulabelle;sugarbear	kinderkreuz;engelchen;engelflügel;holzengel;engelfigur;engel;weihnachtsengel;fensterlein;betschemel	engeltje;horuskind;kinderkopje;bengeltje	ангелочек;ангелок;младенчик	angelito;angelote;querubin;amorcillo;querubín	angelot;ange	andělíček;andělíček	andílek;andělíček;andělíček;andělé;andílku;andílka;anděla;anděle;anděli;anděly;andělíčci;andílky;andělíčkové;andělíčka;andělky;křticí;andělíček;andělíček;andílkem;holubičky;andělíčci;strážnej;andělíček;anděl;andělíček;andělíčci;andělíčka;anděl6x15;andělíček;anděli;andělem;andělíčky;andílci;čertice;holoubku;betlémek;andílka;andělíček;kvítko;andělíčkové;pastýřova;holubičko;andělíček	andílek;andělíček;andílka;anděla;andílku;andílka;podkovičku;andělíček;andílkem;nebíčka;andělíček;andílkovi;andělíček;andělíčka;andílku	andílek;andělíček;prťousek;mrzáček;andělíček;hošíček;bobíšek;andělíček	andílek;andělíček;andělíček;holubicí;andílek;andělíček;mandorly;anděla;cheruba;andělíček;andělíček	anděla;andělíček;anděla;andělíčka;andílek;andílka;strážnej;andílek;andělem;andělíček;anděle;pokušitel
anténka	knobbies;scotchbrite	wurfantenne;wlan-antenne;antennenverstärker;antenne;aussenantenne;antenne1;stabantenne	antennetje;antenne;sprietantenne	антенка;антенна;антена;антеннки;антеннку;антенки	antena;antenita;entena	récépteur	houpačka;anténka;stropě;anténka;obyváku	anténka;anténku;anténí;anténí;anténu;anténka;anténa;anténa-;anténka;antény;anténu;antény.;anténě;antény;anténka;anténky;anténky;anténu;anténa-;anténě;vysílač;anténka;anténa;antenu;anténka;anténka	anténku;anténu;anténa;antény;anténě;anténou;anténka;anténkou;anténka;anténku;anténový;anténka;anténku;anténky	anténka;anténa;anténka;anténku;antena;anténa;antena;parabola;anténka;anténky;anténky;anténku;anténa-;anténkou;anténa;anténu;anténka;anténí;antény.;diodky;anténka;anténka	anténa;anténu;antény;anténku;anténou;anténka;anténka;anténě;anténku;anténa;anténou;vysílače;anténkou;anténu;anténního;anténka	příjmač;přijimač;přijímačí;příjímač;anténku;anténka;setoboxu;anténu;anténí
aparátek	body.after;body;fomentations	apparat;wunschinstrument;grundwerkzeug	mechaniekje;instrumentje;pennis;mondstukje;mechaniekjes	причиндал;аппарат.	aparata;aparate;aparatillo	main-bras	operační;aparátek;hit;aparát;podiatr;aparátek;leaser;systém;preparát;aparátek	aparát;aparátem;aparátek;aparátu;aparátek;aparátek	nástroj;aparátek;aparátek;náústek;přístrojek;prezervativu;aparátek;nastroj;vrtáček;papírůkurz;aparátek;kolovrátky;strojekstrojek;klapaček;náústku;kolovrátků;nářadíčka;koutouč;aparátek	aparátek;přístroj.;aparát;aparátek	mozekjak;materiálek;věcičku;bazmeku;systémek;aparátek;aparátek;anténku;prostředku.;aparátek;pípátko;bazmeky;drát.;víceprvek	polohocit;aparátek
architektonika		architektonik;betonarchitektur	stadsarchitectuur;gevelcompositie	архитектоника;схематика		architectonique		architektonika;architektoniky;architektoniku;architektufie;architektonika;brutalismu;architektoniky;architektova	architektoniky;architekturního;architekture;architektonika;architektury;architektoniku;urbanistice;architektonika	architektonika;architektura;architektura.;schematizace;schemata;schémata;nastavba;logika;architektonika		architektonické;architektonická;architektonika;architektonicko;architektonického;architektonicko-urbanistické
areálek	venous	reitgelände;ausbildungsgelände;turnplätze;lernstandort;hüttenfelder;höhengebiet;trainingsgebiet;übungsflächen	kindergebied;hoofdboerderij;vergadergebouw;clubgedeelte;oefenweides;dorpsgedeelte;recreatiegebouw;bergpaviljoen	спортгородок;визит-центр	minicampamento;canchón;hotel-balneario	magasin-partenaire;mini-parc	komplex;prostor;areálek;pavilonek	mosilany;areálek;areálek;sokolovnách;lukostřelnice;autocvičiště;areálek;areálek;areálek;tělocvičného;areálek;kasárnu;areálek;krajiinkubátor;střelnic;studentát;tělocvičn;tělocvičnami;hřišťátka;cvičištěm;trubkárny;cvičištích;areálek;hřištní;domkyhřiště;kostivárny	areálek;areálek;židlochovickém;areálek;areálek;areálek;tepelském;areálek;areál;areálu.;alfrédova;kuželnu;areálek;arálu;střediskovém;areálu.;rochusu;depozitářůmirek;areálek	stadionek;areálek;hřišťátko;výletiště;cyklopark;trailcentrum;výletiště;ski-areál;areálek;areál;kuželnu;útulekspaní	kuželnu;stadionku;areálek;areálek;klubůall-star;cyklosezóny;kluzištěm;wellnesscentrum;lázní.;lázní;areálek;balneocentrum	trailcentrum;střediskaskiareál;středisk;velocentrum;centrum-;areálek;hřišťátko;centraspinning;cyklocentrum;hřišťátka;cyklopark;labyrintárium;areálek
armaturka		sophienhütte;elektrohaus		пензтяжпромарматура;тяжпромарматура;нефтемаш;стройгидравлика	artika;uniarte			železárna;elektrocentrum;armaturka;armaturka;honková-yaho-i-centrum;velocentrum;vysoèanygroše		armaturka;armaturka;armaturka;kovoprojekta;šroubárna;synthesia;betonárna;armaturka	armaturka;slavona;armaturka	
aršík		ersttagsbrief;briefmarkenblock;zierfeld;ersttagssonderstempel;stempeldatum;ersttagsstempel;r-zettel;stempelaufdruck;mi-nr;freistempel	postzegelvel;decemberzegels	квартблок;спмд;альбом-планшет	anverso;matasello	idtimbre;20f		aršík;aršík;aršíky;aršík37;pofis;aršík;aršík;aršík;aršíku;dopisnici;přítiskem;raz.;aršíku;aršík;aršík;aršík;aršík;aršík;aršíku;mi.1	aršík;aršíku;aršík	čtyřblok;aršík;přítisk;4-blok;aršík;aršík;počítačka	rubu;aversu;rubové;dopisnici;přítisk;reversu;lícové;averzu;dopisnice;vyobrazením;aršík;přítiskem;maxikartu;obálku;aršík;aršíku;druhopis;chybotisk	účet3;přítisk;aršík;fdc;aršíku;aršík;pohlednicím
autolékárnička		verbandtasche;verbandkasten						motolékárnička;autolékárničky;autolékárnička;autolékárničce;autolékárničku;autolékárničku;autolékárnička				
autíčko	villian;cosplaying;cosplayer;cosplay;catgirl;vampiress;cat-girl	spielzeugauto;kinderauto;kinderfahrzeug;feuerwehrauto;modellauto;rennauto;rutschauto;bobbycar;flitzer;dreirad	autootje;speelgoedautootje;speelgoedauto;loopauto;autootjes;loopwagen	автомобильчик;автомобильчики;четырехколесное	autito;camioncito;autitos	bolide;radiocommandée;jouet.	autíčku;autíčko;auto;autíčko;autíčko;autíčko;auto;autíčku;autíčko;autíčko;odstrkávadlo;auto;autíčko	autíčko;autíčka;autíčko;autíčku;autíčko;tříkolku;autíčku;motokára;model1;autíčko;tříkolku;tříkolce;tříkolka;autíčko;autíčku;autíčku;autíčko;motokára;autíčkem;autíčkem;autíčko;autíčku;autíčko;odrážedlo;odrážedlo;autíčko;autíčkem;autíčko;motokáru;tříkolky;závoďáku;jezdítko	autíčko;auto;autíčkem;autíčko;autíčku;autíčka;autíčka;autíčko;auťák;náklaďáček;autíčky;autíčky;autíček;autíčka;motorka;autíček;odrážedlo;náklaďáček;autíčko;autíčkama;autíčkem;sklápěčka;auta;jezdítko;autíčko;autama;odrážedlo;tříkolka;auty;autíčkům;autíčko;odrážedle	autíčko;náklaďáček;autíčka;auťáky;náklaďáčky;auťák;autíčko;sporťáky;bugatky;vozítko;čtyřkolé;autíčko	autíčko;autíčky;autíčka;náklaďáček;náklaďák;auťák;autíčko;autíčko;autíčkama;auto;autíček;multikáru;tatrovku;angličáky	vůz;autíčko;auťák;motorka;hračky.;autodráze;hračku;hračka.;automobil;hračka;autíčko;autíčko
babička		oma;großmutter;grossmutter;schwiegermutter;großmutti	oma;grootmoeder;schoonmoeder;tante;overgrootmoeder;moeder	бабушка;прабабушка;бабка;бабуля;тётя;бабушка-;внучка;прабабка;мама;тетя	abuela;abuelita;bisabuela;tía;tia;nieta	grand-mère;mamie;grand-maman;grand-tante;arrière-grand-mère;belle-maman;grandmère		babička;babička;babičky;babi;babička;mamka;babičku;tchyně;teta;tchýně;maminka;tchýně;prababičky;matka;tchyni;babičky;maminka;babičce;snachy;babička;máma;mamička;babičky;babička;snacha;praprababička;dceruška;prababičku;tchyní	babička;máma;tchyně;babička;babi;tchýně;matka;maminka;babička;teta;tetička;teta;snacha;švagrová;babička;matka;tchyni;snachy;prababička;babičky;tchýni;maminka;mamka;matce;máma;prababičky;prababičkou;otce;matkou;matku;praprababička;dcera;matky;manžel;babička;dědečkova	babička;maminka;máma;babička;prababička;mamka;babča;babička;teta;vnučka;bába;babička;maminka;máma;babička;pravnučka;dcera;babička;prababička;prabába;matka;mamka;maminka;sousedka;babička;mamka;tetka;teta;praprababička;babička;teta;teta;maminka;babička;děvenka;babička	babička;babička;maminka;maminka;babičky;máma;teta;teta;prababička;babičkou;babičce;pradědečka;prababičkou;mamka;prababička;tetička;praprababička;babička;babička;babičku;prababičku;prababičky;prababičce;mamka;máma;vnučka;teta;dcera;prabába;babička;snacha;pravnučka;manželka;babička	babičky;babičky;babička;babička;babička;babičce;babičky;prababičky;babi;babičce;maminka;tety;maminka;tchýně;babičky;máma;tatínkovy;praprababička;mamky;maminčiny;babička;babičky;maminčiny;tchyně;babičku;mamka;otcovy;babička;praprababička;babička;babička;prababičku;prababičky;vnoučky
bahnička					corregüela;zahareña						nadmutice;ptačince;bahnička;bahnička;třeslice;kuřička;lobelka;psárka	
bahýnko		matschepampe;schlammpfütze;matschwetter	blubberzooi;modderpoel;blubber;derrie;blubberig;modderboel	грязюки;месево;по-колено;грязюка;растаявшее	barrillo;fangal	boue.;gadoue;bouillasse;saucée;brûme		blátíčko;bahýnko;bahno;kaluž;kaluže;bahýnko;bahýnko;blátíčko;blátě;plískanici;zabahněné;kaluži;děště;blátivo;kalužích;bahýnku;bahýnku	bahýnko;břečka;bahýnku;bahna;bláto;bláta;bahýnko;břečku;blátíčko;břečky;blátě;bahniště;kaluž;štoudev;bahýnko;roští;loužička;bahýnko;mokře;blátíčko;blátíčka;blátíčko;šprcky;roští;kluzko;chcanky;bahýnko;bahýnku;bahno;blátivý;nacucaný;bahýnko;chcanek	bahýnko;blátíčko;blátì;neleje;bahýnko;břečka;bahýnko;bahýnko;bahno;bahýnko;blátíčko	blátíčko;bahýnko;čůrek;naváto;blátíčka;vydrolený;dolík;břečku;poprašek;bahnu;bahýnko	bláto;louže;blátíčko;bahno;bahýnko;bahýnko;blátíčka;kýbly;bláta;blátíčko;bahne;čůrky;břečky;bahýnko;bahnì;chumáče;lávě;tůňce;zmoklé;medůzy;chumáč;bahýnko;neleje;dýmy;zámotky;bahýnko
balíček	facial;urine	paket;überraschungspaket;standardpaket;startpaket;starterpaket;geschenkpaket;geburtstagspaket;package;starterpack;test-paket	pakket;pakketje;perspakket;starterspakket;startpakket;verrassingspakket;startpakketje;verzorgingspakket;overlevingspakket;setje	пакет;набор;-пакет;комплект;пакет-;наборчик	paquete;paquetito;paquetico	paquet;package;coffret;kit;paquet-cadeau	balíček;balíč;balíček.;program;sortiment;produkt;balíček;servis;materiál;roztříděný;designshop	balíček;balík;balíčku;balíčkem;balíku;package;balíček.;balíček;balíček;balíček;balíček;balíček.;balíček;balíček;balíček;balíček;balíček;balíčku;balíčkem	balíček;balíčku;balík;balíčkem;balíček;zásilku;balíček;balíček.;balík;balíček;balíček;balíček;balíček.;balíček;balíček;sadu;soupravu;balíč;komplet;sada;balíček;sadu.;balíček;originání	balíček;balík;balíček;balíček.;balíček;paket;komplet;balíček.;.balíček;sadu;trojkomplet;balíèek;balíč;sadu;balíček;balíèek;balík;balíček;.balíček;balíček	balíček;balík;balíčku;balíku;balíček.;balíčkem;pytlíček;balíček;krabičku;balík;balík;balíček;pytlíček	balík;balíček;balíček;krabičku;balíček;balík;balíčku;balíčkový;komplet;balíku;kompletu;balíčky;krabici;balíčku;sada;sada;krabička;dvojdisk;sadu;komplet;balíček;.balíček;obal;kitu;krabičku;balíček
bambulka			koekepeertje						bambulka;hajánek;tlapička			
bandička			tienerband;kinderband;meisjespopgroep	братва;каманда;ватага;пацанва	bandita;bandade;pandillita;bandota				bandička;bandička;bandička;teenagerce	bandička;bandička;tlupa;banda;družinka;skupinka;omladina;partaka;parta;bandička;bandička	bandička;kapelka;kapelku;superjednotka;drobotina;partička;cikáňata;kapelky;kapeli;megastavba;bandička;družinka;bandička;bandička;banditka	
barvička	pount	sommerfarbe;frühlingsfarbe;farbkombi;farbcombi;alltagsfarbe;herbstfarbe;mintton;farbzusammenstellung;lilaton;farb-kombi	kleurencombi;kleurcombi;stoffencombinatie;kleur.en;kleurtje.	тканька;тканюшка;расцветочка;ветровочка	paletita	couleur.je;flashi	svítívost;barvička	barvičce;barvičce;barvička;barvička;barvička;barvička;barvičce;barvičku;barvička;barvičce;barvičku;barvička;barvičce;barvička;barvičce;barvička;barvičku;odstin;barvička;barvička	barvička;barvička;barvičku;barvička;barvičce;barvičku;barvičku;barvička;barvičce;barvička;barva.	barvička;barvička;barvička;fajnovka;kabeluška;vůnička;prostírka;ideálka;prostírka;ločka;designovka;kožešinka;barvička	paletka;tvářenka;paletku;tubička;barvička	barvičkama;tyrkysovo;barvička;růžovoučký;barvičce;barevnej;barvička;vínova;tyrkysova
baráček	co-rider	grundstueck;häusschen;einfamilienhäuschen;minihaus;häuschen;reihenhäuschen	nieuwbouwhuis;droomhuis;klushuis;stulpje;woninkje	домишко;дом-то;коттеджик;домик.;гаражик;домик;дом.а;котедж;сарайчик	terrenito;chalecito;minipiso;pisito;zulito;casoplón		baráček	bytečky;baráček;baráčky;domeček;baráček;baráček;domečkem;bytečkem;byteček;byteček;baráčkem;domek;bydleníčko;pozemkem;domeček;byteček;domečku;baráček;dvojdomek;domeček;baráčkem;hnízdečko;baráček;byteček;chalupì;hnízdečko;baráčky;baráček;bytečky	baráček;baráček;baráček;baráček;bytečku;půldomku;bejvák;bytovka;půldomku;domku;vysněného;bytovku;rod.domku;domek;dřevostavbu;holobytě;dřevostavbě;byteček;baráček;barák;baráčku	baráček;baráček;domeček;domek;barák;barák;domeček;domek;domček;baráček;domek;bungalov;dům.;baráček;dům;barák;baráček;bejvák;dům.;penzionek;baráček;baráček;domek;byteček;byteček;barák;baráček;baráček;barák;seník	baráček;domek;byteček;vilku;barák;domek;baráček;domeček;byteček;baráček;chatičku;panelákový;bytečku;bydleníčko;baráčku;barák;obývák;byt;půldomek;baráček;barák;paneláku;baráček;garsonku;vilku;dvojdomek;holobytě;bejvák;holobytě;bejvák;baráček;dům;minibyt	
basička				тросточка;сопилка;балеринка	charpa;cachava					řehtačka;basička;třínožka;basička;balalajka;trumpetka;theorba;fujara;podkovička;baletka;kramlinka;vŕtačka;hojdačka;basička;vazačka	klapačka;basička;stařečka;špacírka;basička	
batolátko		babyalltag;babybuch;stillkind;babyjunge	dreumesgroep;peuterklasje;kinderhoofdje;dreumesje;peuterpubertijd		gateador			batolátko;fotodeníček;batolátek;nekojený;batolátko;miminkům;nedonošeňátko;batolátko;miminka.;batolátka;kojenec;kojený;dítko;nekojené;batolátko;miminko.	batolátka;batolátko;batolátko;batolátka;školce;batolátko;školičce;školkový;květňátko;mateřinku;školičku;dudlíček;batoleti;pubertačka;batolátko;pubertačky;batolátko;batolete;puberta;cvalíček		batolec;batolící;batolátko	
