нацистка	Derivative
солдат	Derivative
забияка	Derivative
редактор	Derivative
террористка	Derivative
мандолинист	Derivative
пророчица	Derivative
полити́ческий де́ятель	Phrase
активистка	Derivative
чиновница	Derivative
космонавт	Compound
альпинист	Derivative
фотожурналистка	Derivative
блондинка	Derivative
девушка	Derivative
в ученицах жила	Phrase
винтовка	Derivative
фантазии бесследно пропавшей ювелирши лился необыкновенный	Phrase
обладательница уже	Phrase
крестница	Derivative
уборщица	Derivative
гардеробщица	Derivative
нотариус	Unmotivated
идиотка	Derivative
погоня	Derivative
циклонудист	Derivative
офицер	Derivative
проститутка	Derivative
моей подзащитной	Phrase
среди них встречались служащие	Phrase
микрокомпьютер	Derivative
трубка	Derivative
кухарка	Derivative
шеф	Derivative
мастерица	Derivative
лазутчиков	Derivative
инспектор	Derivative
жрица	Derivative
модистка	Derivative
парамедик	Derivative
программист	Derivative
географ	Derivative
аккордеонист	Derivative
хранилище храма	Phrase
у беженок	Phrase
лидер фронта – имеет неплохие шансы	Phrase
редактором	Derivative
хористка	Derivative
пианистка	Derivative
гольфистка	Derivative
журналистика	Derivative
поддержка	Derivative
риксдага быстро прониклась недоверием к способностям службы	Phrase
принадлежавшая к конвенции	Phrase
продавщица	Derivative
горизонт	Unmotivated
настоятельница	Derivative
биоклиматолог	Derivative
лидер	Derivative
электрик	Derivative
женщина-водитель	Compound
министр	Unmotivated
распределитель	Unmarked
гастроэнтеролог	Derivative
рады заместителя премьер-министра	Phrase
администратор	Derivative
кельнерша распорядительница	Phrase
жестоких надзирательниц присланных	Phrase
волчи́ца	Derivative
дьяволица	Derivative
терапевть	Derivative
девушка превращалась в святую	Phrase
сноб	Unmotivated
председателя	Derivative
меномини	Derivative
тому же еще патриотка	Phrase
первооткрыватель	Unmarked
любовница	Derivative
мотоцикл	Compound
открытие	Derivative
публицист	Derivative
пользователь	Unmarked
друг	Derivative
изобретен мусульманкой	Phrase
барабанщица	Derivative
преступница	Derivative
этой девушки	Phrase
сограждан	Derivative
отличница	Derivative
пассажир	Derivative
женщина-скульптор	Compound
стажер	Derivative
делова́я же́нщина	Phrase
аристократка торопится	Phrase
стриптизерша	Derivative
кларнетист	Derivative
актриса	Derivative
лексикограф	Compound
сверстниц	Derivative
изобретатель	Unmarked
поводырь во вседневность	Phrase
разноцветные детали различной формы	Phrase
она росла серенькой мещаночкой	Phrase
первый заместитель	Phrase
анестезиолог	Compound
труба	Derivative
брюнетка	Derivative
телефонистка	Derivative
микробиолог	Compound
сорокалетняя молодица	Phrase
косметолог	Compound
координатор	Derivative
наставник	Unmarked
производитель	Unmarked
негритянка	Derivative
аукционист	Derivative
нищенка	Derivative
фотограф	Derivative
паразит	Derivative
бобр	Derivative
напарница	Derivative
соблазнительница	Derivative
олигополист	Derivative
комбинат	Derivative
жена	Derivative
студентка	Derivative
же фальшиво-ласковым тоном	Phrase
физионома	Derivative
консул	Derivative
воительницами оказались как раз молодые	Phrase
студенток	Derivative
эконо́мка	Derivative
библиотекарша	Derivative
сиделка	Derivative
художница	Derivative
хозяйка	Derivative
художница	Derivative
организатор	Derivative
техник звукозаписи	Phrase
массажистка	Derivative
педиатр	Unmotivated
специальный меленн	Phrase
ароматерапевтор	Derivative
клиентура	Derivative
протежй	Derivative
невролог	Compound
энкодер	Derivative
скромно следовала ее горничная далее слуга	Phrase
проблема	Derivative
вино	Unmotivated
истинное исчадие ада	Phrase
кондитер	Derivative
мать-настоятельница	Compound
телефонистка	Derivative
чемпионкой в своем классе	Phrase
игрок	Derivative
пригласила к себе заказчица	Phrase
делова́я же́нщина	Phrase
создатель	Unmarked
коровка	Derivative
журналистка	Derivative
певица	Derivative
неформалка	Derivative
опекун	Derivative
пава	Derivative
карманная кармен	Phrase
кардиолог	Compound
таможни	Derivative
президент	Derivative
секрета́рь	Derivative
похитительница	Derivative
музыкант	Derivative
технолог	Compound
сваха	Derivative
член	Derivative
утопист	Derivative
цветно́й каранда́ш	Phrase
портфе́ль	Derivative
пациентка	Derivative
стервятник	Unmarked
уполномоченный по ведению торговых переговоров	Phrase
странник	Unmarked
бортпроводница	Derivative
скрипачка	Derivative
сверху старушка странница ветер	Phrase
саксофонистка	Derivative
гадалка	Derivative
префект	Derivative
коронер	Derivative
профессию музыканта	Phrase
пионерка	Derivative
ветеринар	Derivative
голубь	Derivative
императрицы	Derivative
орнитолог	Derivative
арт-терапевт	Compound
фигуристка	Derivative
соперница	Derivative
первопроходец	Unmarked
физиотерапевт	Unmotivated
богослов	Derivative
физиолог	Compound
гидробиолог	Compound
эпидемиолог	Compound
водительница	Derivative
потом еще мулатка	Phrase
портретист	Derivative
гладиатор	Derivative
любимица	Derivative
солдат	Derivative
ассисте́нтка	Derivative
соседка	Derivative
соперница	Derivative
пирожок	Derivative
золотоискательница	Derivative
убийцей	Unmotivated
верблюд	Derivative
прокурорш	Derivative
поэ́т	Derivative
психопатка	Derivative
одноклассница	Derivative
читатель	Unmarked
наследница	Derivative
стать неплохой подругой	Phrase
плотник	Unmarked
швея	Derivative
жительница	Derivative
создательница	Derivative
анархистка	Derivative
капитанша	Derivative
студентка	Derivative
супермодель	Derivative
ректор	Derivative
моей соложницы	Phrase
наркоманка	Derivative
нематода	Derivative
пират	Derivative
картограф	Derivative
артиллерия	Derivative
автор	Derivative
инвестор	Derivative
благородного происхождения ефросинии	Phrase
увлеченная теориями	Phrase
посланец	Unmarked
директор	Derivative
зенист	Derivative
дилетантка	Derivative
работодательница	Derivative
планировщик	Derivative
кондитер	Derivative
