briefcase	Compound
briefcase	Compound
archbishoples	Compound
event	Unmotivated
great-grandfather	Compound
great-grand-father	Compound
helicopter	Derivative
flower bed	Phrase
pilot burner	Phrase
wand	Unmotivated
wand	Unmotivated
pension	Unmotivated
mustache	Unmotivated
compressor	Derivative
small basket	Phrase
eyebrow	Compound
hermit	Unmotivated
princess	Derivative
percentage	Derivative
lingerie	Derivative
suicide	Unmotivated
silhouette	Unmotivated
subgroup	Derivative
results	Unmotivated
dictionary	Derivative
specialty	Derivative
explanation	Derivative
transformers	Unmotivated
body	Derivative
carbon	Unmotivated
carbon	Unmotivated
squirrel	Unmotivated
squirrel	Unmotivated
squirrel	Unmotivated
hydrogen	Unmotivated
health	Derivative
magazine	Unmotivated
chocolate	Unmotivated
reading room	Phrase
wardrobe	Compound
turtle	Derivative
