witch	Unmotivated
sea-urchin	Compound
prophet	Unmotivated
fool	Unmotivated
grandmother	Unmarked
patronage	Derivative
beauty	Unmotivated
nursemaid	Compound
roundworms	Compound
motor-bike	Compound
debtor	Unmarked
schoolgirl	Compound
slut	Derivative
dvornik	Derivative
professor	Unmarked
host	Unmotivated
roe deer	Phrase
stem siren	Phrase
scaled reptile	Phrase
waitress	Derivative
abbess	Derivative
enchantress	Derivative
businesswoman	Compound
footballer	Unmarked
hitcher	Unmarked
host	Unmotivated
princess	Derivative
doctor	Unmarked
piano player	Phrase
brother-in-law	Compound
songstress	Derivative
temptress	Derivative
woman	Unmotivated
songstress	Derivative
shadchen	Unmotivated
chorister	Unmarked
slave-girl	Compound
hatmaker	Unmarked
aid	Unmotivated
tourist	Unmarked
jizz bucket	Phrase
president	Derivative
biro	Derivative
female poet	Phrase
psychologist	Unmarked
model	Unmotivated
coach	Unmotivated
drawer	Unmarked
reader	Unmarked
traveller	Unmarked
princess	Derivative
consort	Unmotivated
females	Unmotivated
she-wolf	Compound
countess	Derivative
saxophonist	Unmarked
civilist	Unmarked
acquaintance	Derivative
hatmaker	Unmarked
mother in law	Phrase
siphon	Unmotivated
armoury	Derivative
sister	Unmarked
secretary	Derivative
little grebe	Phrase
engineer	Unmarked
woman hairdresser	Phrase
cosmetician	Derivative
schoolmistress	Derivative
gymnast	Unmotivated
skier	Unmarked
acquaintance	Derivative
coloured pencil	Phrase
student	Derivative
chairwoman	Compound
squabbler	Unmarked
architect	Unmotivated
woman farmer	Phrase
stewardess	Derivative
paintbrush	Compound
espionage	Derivative
shepherdess	Derivative
showgirls	Compound
athlete	Unmotivated
cantor	Unmarked
voyeur	Derivative
dove	Unmotivated
skater	Unmarked
damsel	Unmotivated
manicure	Unmarked
cleaner	Unmarked
aid	Unmotivated
model	Unmotivated
homemaker	Unmarked
tailor	Unmarked
lover	Unmarked
peahen	Unmotivated
artist	Unmarked
channel	Unmotivated
software driver	Phrase
namesake	Compound
priestess	Derivative
co-worker	Derivative
masseur	Derivative
cookery book	Phrase
wise woman	Phrase
political scientist	Phrase
dasher	Unmarked
heroine	Derivative
lover	Unmarked
athlete	Unmotivated
tennis player	Phrase
diplomat	Unmarked
nurse	Unmotivated
abbess	Derivative
hymenomycete	Unmarked
white turnip	Phrase
sister	Unmarked
hymeneals	Unmarked
businesswoman	Compound
businesswoman	Compound
lover	Unmarked
chequy	Unmotivated
camerade	Unmotivated
sculptor	Unmarked
policewoman	Compound
old woman	Phrase
journalist	Unmarked
enchantress	Derivative
diagnosing	Unmotivated
stepdaughter	Unmarked
