witch	Unmotivated
sea-urchin	Compound
prophet	Unmotivated
fool	Unmotivated
grandmother	Compound
patronage	Derivative
beauty	Unmotivated
nursemaid	Compound
roundworms	Compound
motor-bike	Compound
debtor	Unmotivated
schoolgirl	Compound
slut	Derivative
dvornik	Derivative
professor	Derivative
host	Unmotivated
roe deer	Phrase
stem siren	Phrase
scaled reptile	Phrase
waitress	Derivative
abbess	Unmotivated
enchantress	Derivative
businesswoman	Compound
footballer	Compound
hitcher	Derivative
host	Unmotivated
princess	Derivative
doctor	Unmotivated
piano player	Phrase
brother-in-law	Compound
songstress	Derivative
temptress	Derivative
woman	Unmotivated
songstress	Derivative
shadchen	Unmotivated
chorister	Derivative
slave-girl	Compound
hatmaker	Compound
aid	Unmotivated
tourist	Unmotivated
jizz bucket	Phrase
president	Derivative
biro	Derivative
female poet	Phrase
psychologist	Derivative
model	Unmotivated
coach	Unmotivated
drawer	Derivative
reader	Derivative
traveller	Derivative
princess	Derivative
consort	Unmotivated
females	Unmotivated
she-wolf	Compound
countess	Derivative
saxophonist	Derivative
civilist	Derivative
acquaintance	Derivative
hatmaker	Compound
mother in law	Phrase
siphon	Unmotivated
armoury	Derivative
sister	Unmotivated
secretary	Derivative
little grebe	Phrase
engineer	Unmotivated
woman hairdresser	Phrase
cosmetician	Derivative
schoolmistress	Compound
gymnast	Unmotivated
skier	Derivative
acquaintance	Derivative
coloured pencil	Phrase
student	Derivative
chairwoman	Compound
squabbler	Derivative
architect	Unmotivated
woman farmer	Phrase
stewardess	Derivative
paintbrush	Compound
espionage	Derivative
shepherdess	Derivative
showgirls	Compound
athlete	Unmotivated
cantor	Unmotivated
voyeur	Derivative
dove	Unmotivated
skater	Derivative
damsel	Unmotivated
manicure	Unmotivated
cleaner	Derivative
aid	Unmotivated
model	Unmotivated
homemaker	Compound
tailor	Unmotivated
lover	Derivative
peahen	Unmotivated
artist	Derivative
channel	Unmotivated
software driver	Phrase
namesake	Compound
priestess	Derivative
co-worker	Compound
masseur	Derivative
cookery book	Phrase
wise woman	Phrase
political scientist	Phrase
dasher	Derivative
heroine	Unmotivated
lover	Derivative
athlete	Unmotivated
tennis player	Phrase
diplomat	Unmotivated
nurse	Unmotivated
abbess	Unmotivated
hymenomycete	Derivative
white turnip	Phrase
sister	Unmotivated
hymeneals	Compound
businesswoman	Compound
businesswoman	Compound
lover	Derivative
chequy	Unmotivated
camerade	Unmotivated
sculptor	Derivative
policewoman	Compound
old woman	Phrase
journalist	Derivative
enchantress	Derivative
diagnosing	Unmotivated
stepdaughter	Compound
