dragón	Derivative
erizo marino	Phrase
profeta	Unmotivated
piquero	Derivative
hechicero	Derivative
clientela	Unmotivated
hermosura	Derivative
institutriz	Derivative
oxiuros	Derivative
moto	Unmotivated
deudora	Derivative
colegiala	Derivative
adúltera	Derivative
portero	Derivative
profesora	Derivative
anfitrión	Derivative
corzo	Unmotivated
mujer	Unmotivated
varanus	Unmotivated
mesera	Derivative
abadesa	Derivative
bruja	Unmotivated
mujer de negocios	Phrase
futbolista	Derivative
autoestopista	Derivative
anfitrión	Derivative
princesa	Unmotivated
médico	Unmotivated
pianista	Derivative
cuñada	Derivative
cantor	Unmotivated
mujer fatal	Phrase
asistente doméstica	Phrase
cantaora	Unmotivated
casamentera	Derivative
comedianta	Derivative
esclavo	Derivative
modista	Derivative
subjefe	Derivative
visitador	Derivative
adúltera	Derivative
presidente	Derivative
lápiz	Unmotivated
poeta	Unmotivated
psicóloga	Derivative
modelo	Unmotivated
entrenadora	Derivative
gaveta	Unmotivated
lector	Unmotivated
turista	Derivative
emperador	Derivative
mujer	Unmotivated
vaca	Unmotivated
zorra	Derivative
condesa	Derivative
saxofonista	Derivative
política	Derivative
camarada	Derivative
modista	Derivative
madre política	Phrase
sifón	Derivative
arsenal	Derivative
monja	Derivative
secretaria	Derivative
somormujo	Derivative
ingeniero	Derivative
peluquera	Derivative
esteticista	Derivative
maestra de escuela	Phrase
gimnasta	Derivative
esquiador	Derivative
camarada	Derivative
crayón	Derivative
estudiante	Derivative
alcaldesa	Derivative
pendenciero	Derivative
arquitecta	Unmotivated
agricultora	Derivative
azafata	Unmotivated
escobilla	Derivative
espionaje	Derivative
pastora	Unmotivated
vendedor	Derivative
deportista	Derivative
cantor	Unmotivated
mirón	Derivative
paloma	Unmotivated
patinador	Derivative
muñeca	Derivative
manicura	Unmotivated
asistente doméstica	Phrase
subjefe	Derivative
modelo	Unmotivated
ama de casa	Phrase
costurera	Derivative
hermana mayor	Phrase
pavo	Unmotivated
artista	Unmotivated
conducto de agua	Phrase
conductora	Derivative
tocaya	Unmotivated
sacerdotisa	Derivative
colega	Unmotivated
masajista	Derivative
cocinero	Derivative
profeta	Unmotivated
politólogo	Derivative
mazo	Unmotivated
heroína	Derivative
persona enamorada	Phrase
deportista	Derivative
tenista	Derivative
maletín	Derivative
niñera	Derivative
abadesa	Derivative
rúsula	Unmotivated
nabo	Unmotivated
sor	Unmotivated
boda	Unmotivated
mujer de negocios	Phrase
mujer de negocios	Phrase
mujer	Unmotivated
tablero de ajedrez	Phrase
camarada	Derivative
escultora	Derivative
policía femenino	Phrase
mujer vieja	Phrase
periodista	Derivative
bruja	Unmotivated
diagnóstico	Derivative
hijastra	Unmotivated
