dragon	Unmotivated
châtaigne de mer	Phrase
prophète	Derivative
idiot	Unmotivated
chipie	Derivative
clientèle	Derivative
beauté	Derivative
éducatrice	Derivative
nématodes	Derivative
moto	Unmotivated
débitrice	Derivative
écolière	Derivative
adultere	Unmotivated
propriétaire	Derivative
professeur	Unmarked
maîtresse de maison	Phrase
biche	Unmotivated
saloparde	Unmotivated
varanidae	Derivative
garçon	Unmarked
abbesse	Derivative
magicienne	Derivative
businesswoman	Derivative
footballeur	Unmarked
autostoppeur	Unmarked
hôte	Unmotivated
princesse	Derivative
médecin	Derivative
pianiste	Derivative
belle-sœur	Derivative
chanteur	Unmarked
séductrice	Derivative
servante de bureau	Phrase
chanteuse	Derivative
marieur	Unmarked
acteur	Unmarked
esclave-fille	Derivative
chapelier	Derivative
assistant	Unmarked
hôte	Unmotivated
roulure	Derivative
président	Unmotivated
crayon	Unmotivated
poète	Unmotivated
psychologue	Unmarked
petit homme	Phrase
entraîneur sportif	Phrase
dessinatrice	Derivative
lecteur	Unmarked
voyageur	Unmarked
empereur	Unmarked
epouse	Derivative
taureau	Unmotivated
chienne	Derivative
comtesse	Derivative
saxophone	Compound
femme politique	Phrase
amie	Derivative
chapelier	Derivative
belle-mère	Derivative
siphon	Unmotivated
armurerie	Derivative
bonne sœur	Phrase
secrétaire	Derivative
grèbe	Unmotivated
ingénieur	Unmarked
friseur	Unmarked
esthéticien	Derivative
professeur	Unmarked
gymnaste	Derivative
skieur	Unmarked
amie	Derivative
crayon de couleur	Phrase
étudiante	Derivative
bourgmestre	Compound
querelleur	Unmarked
architecte	Derivative
agriculteur	Unmarked
dame d’atour	Phrase
cardère	Unmotivated
espionnage	Derivative
bergère	Derivative
vendeur	Unmarked
athlete	Unmotivated
chanteur	Unmarked
mateur	Unmarked
gorge-de-pigeon	Derivative
patineur	Unmarked
jeune fille	Phrase
manucure	Derivative
servante de bureau	Phrase
assistant	Unmarked
petit homme	Phrase
trousse de couture	Phrase
couturière	Derivative
madame	Unmotivated
paon	Unmotivated
artiste	Derivative
tuyau	Unmotivated
chauffeur	Unmarked
homonyme	Derivative
prêtresse	Derivative
collègue	Unmarked
masseuse	Derivative
livre de cuisine	Phrase
sibylle	Derivative
politologue	Unmarked
pilon	Unmotivated
héroïne	Derivative
galant	Unmarked
athlète	Unmotivated
tennisman	Derivative
porte-documents	Derivative
baby-sitter	Compound
abbesse	Derivative
russule	Derivative
navet	Unmotivated
soeur	Unmarked
noce	Unmotivated
femme d’affaires	Phrase
businesswoman	Derivative
amante	Derivative
échiqueté	Derivative
compagne	Unmotivated
sculpteur	Unmarked
policier	Derivative
vieille femme	Phrase
journaliste	Derivative
illusionniste	Derivative
diagnostic	Unmotivated
belle-fille	Derivative
