architect	Unmotivated
helpmate	Compound
sportswoman	Compound
holidaymaker	Unmarked
trainers	Derivative
princess	Derivative
veterinary medicine	Phrase
fellow soldier	Phrase
salesperson	Compound
gymnast	Unmotivated
shadchen	Unmotivated
lady	Unmotivated
host	Unmotivated
host	Unmotivated
countess	Derivative
press up	Phrase
hurcheon	Unmotivated
female hairdresser	Phrase
sidekick	Compound
piano player	Phrase
hatter	Unmarked
colleague	Unmotivated
dumbass	Compound
skier	Unmarked
mannequin	Unmarked
manicure	Unmarked
little woman	Phrase
love	Unmotivated
love	Unmotivated
nun	Unmotivated
helpmate	Compound
mannequin	Unmarked
motorbike	Compound
hatter	Unmarked
idiot	Unmotivated
visitor	Unmarked
babe	Unmotivated
nurse	Unmotivated
princess	Derivative
professor	Unmarked
strumpet	Unmotivated
psychologist	Unmarked
shepherdess	Derivative
abbess	Derivative
sidekick	Compound
saxist	Unmarked
sculptress	Derivative
athlete	Unmotivated
mayoress	Derivative
stewardess	Derivative
hitcher	Unmarked
dumbass	Compound
family	Derivative
ma-in-law	Compound
tennist	Unmarked
grebe	Unmotivated
air trap	Phrase
outer covering	Phrase
pencil	Unmotivated
turmit	Unmotivated
cantor	Unmarked
armoury	Derivative
slime eel	Phrase
waitress	Derivative
motorist	Unmarked
sisters	Unmotivated
espionage	Derivative
sister-in-law	Compound
