descent	Unmotivated
ray-ban	Compound
perveez	Unmotivated
dragon-slayer	Compound
baileys	Unmotivated
photo-opportunity	Compound
46-litre	Compound
cizik	Derivative
quadrasteer	Derivative
unosom	Derivative
panzergrenadier	Compound
barrack	Unmotivated
bloodhound	Compound
minister	Unmotivated
podlesh	Derivative
namesake	Compound
bayareaobserver	Compound
chief	Unmotivated
cheats	Unmotivated
bofur	Unmotivated
s60r	Derivative
icsc	Unmotivated
samsonite	Derivative
statue	Unmotivated
colonel-general	Compound
then-archbishop	Compound
sculptor	Derivative
prince-abbot	Compound
ford	Unmotivated
spokesperson	Compound
chief	Unmotivated
inspector-general	Compound
investec	Derivative
führermuseum	Compound
scratch-built	Compound
taxiway	Compound
wolfhound	Compound
striker	Derivative
ornithodira	Unmotivated
glass-bead	Compound
flamingoes	Derivative
billionaire	Derivative
descent	Unmotivated
80-liter	Compound
mausoleum	Unmotivated
citizenlink	Compound
boxster	Derivative
wirbelwind	Compound
spokeswoman	Compound
glados	Unmotivated
squadmate	Compound
spokesperson	Compound
bundesarchiv	Compound
