prospectrice	Derivative
ambassadrice	Derivative
psychologue-psychanalyste	Compound
joggeuse	Derivative
patissière	Derivative
accompagnatrice	Derivative
compositeure	Derivative
députée	Derivative
soprane	Unmotivated
reportrice	Derivative
gymnaste	Derivative
sous-préfète	Compound
actrice	Derivative
speakerine	Derivative
yarigo	Unmotivated
consoeur	Unmotivated
muséologue	Derivative
présentatrice	Derivative
moto	Unmotivated
motarde	Unmotivated
compositeure	Derivative
présidente	Derivative
styliste	Derivative
opératrice	Derivative
politologue	Derivative
députée	Derivative
assistante	Derivative
procureure	Derivative
auteure-compositrice	Compound
contributrice	Derivative
rédactrice	Derivative
présentatrice	Derivative
hurdleuse	Derivative
sculpteure	Derivative
meccano	Derivative
étudiante	Derivative
téléconseillère	Derivative
tenniswoman	Compound
marie-auxiliatrice	Compound
éléctrode	Derivative
vacancière	Derivative
enseignante	Derivative
usufruitière	Derivative
vocaliste	Derivative
employeuse	Derivative
députée-maire	Compound
chanteuse	Derivative
ex-prof	Compound
vice-présidente	Compound
conductrice	Derivative
chauffeur-routier	Compound
ex-directrice	Compound
rédactrice	Derivative
